target,window_size,prediction_horizon,split,split_seed,model,train_windows,train_positive_count,train_positive_rate,train_cycles,test_cycles,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc
ProtectiveStop,10,3,cycle_group,42,rf_plain,1867,15,0.008034279592929834,123,31,464,6,0.01293103448275862,0.9870689655172413,0.4967462039045553,0.9806455232253721,0.0,0.0,0.0,458,0,6,0,0.7332605531295486,0.5084770114942528
ProtectiveStop,10,3,cycle_group,42,rf_smote,1867,15,0.008034279592929834,123,31,464,6,0.01293103448275862,0.9913793103448276,0.7478260869565218,0.9892428785607197,1.0,0.3333333333333333,0.5,458,0,4,2,0.6730349344978166,0.5078945742182672
ProtectiveStop,10,5,cycle_group,42,rf_plain,1867,25,0.01339046598821639,123,31,464,10,0.021551724137931036,0.978448275862069,0.49455337690631807,0.9677897979115017,0.0,0.0,0.0,454,0,10,0,0.7327092511013216,0.5152004964854255
ProtectiveStop,10,5,cycle_group,42,rf_smote,1867,25,0.01339046598821639,123,31,464,10,0.021551724137931036,0.978448275862069,0.49455337690631807,0.9677897979115017,0.0,0.0,0.0,454,0,10,0,0.8430616740088106,0.5323484176279207
ProtectiveStop,10,10,cycle_group,42,rf_plain,1867,48,0.025709694697375468,123,31,464,19,0.040948275862068964,0.959051724137931,0.48954895489548955,0.939005538484883,0.0,0.0,0.0,445,0,19,0,0.9709047900650503,0.6897228466228025
ProtectiveStop,10,10,cycle_group,42,rf_smote,1867,48,0.025709694697375468,123,31,464,19,0.040948275862068964,0.959051724137931,0.48954895489548955,0.939005538484883,0.0,0.0,0.0,445,0,19,0,0.9739207569485512,0.6977005520430138
ProtectiveStop,20,3,cycle_group,42,rf_plain,654,5,0.00764525993883792,116,30,161,1,0.006211180124223602,0.9937888198757764,0.4984423676012461,0.9906929045490606,0.0,0.0,0.0,160,0,1,0,0.753125,0.02
ProtectiveStop,20,3,cycle_group,42,rf_smote,654,5,0.00764525993883792,116,30,161,1,0.006211180124223602,0.9937888198757764,0.4984423676012461,0.9906929045490606,0.0,0.0,0.0,160,0,1,0,0.309375,0.006211180124223602
ProtectiveStop,20,5,cycle_group,42,rf_plain,654,7,0.010703363914373088,116,30,161,1,0.006211180124223602,0.9937888198757764,0.4984423676012461,0.9906929045490606,0.0,0.0,0.0,160,0,1,0,0.340625,0.006211180124223602
ProtectiveStop,20,5,cycle_group,42,rf_smote,654,7,0.010703363914373088,116,30,161,1,0.006211180124223602,0.9937888198757764,0.4984423676012461,0.9906929045490606,0.0,0.0,0.0,160,0,1,0,0.246875,0.006211180124223602
ProtectiveStop,20,10,cycle_group,42,rf_plain,654,10,0.01529051987767584,116,30,161,1,0.006211180124223602,0.9937888198757764,0.4984423676012461,0.9906929045490606,0.0,0.0,0.0,160,0,1,0,0.690625,0.016666666666666666
ProtectiveStop,20,10,cycle_group,42,rf_smote,654,10,0.01529051987767584,116,30,161,1,0.006211180124223602,0.9937888198757764,0.4984423676012461,0.9906929045490606,0.0,0.0,0.0,160,0,1,0,0.246875,0.006211180124223602
GripLost,5,3,cycle_group,42,rf_plain,4086,61,0.0149290259422418,163,41,880,21,0.023863636363636365,0.9818181818181818,0.68769408215775,0.9763076600446844,1.0,0.23809523809523808,0.38461538461538464,859,0,16,5,0.9290980653029547,0.5906333624422286
GripLost,5,3,cycle_group,42,rf_smote,4086,61,0.0149290259422418,163,41,880,21,0.023863636363636365,0.9795454545454545,0.7135416666666667,0.9764086174242425,0.6363636363636364,0.3333333333333333,0.4375,855,4,14,7,0.9218360219524364,0.5105650953766749
GripLost,5,5,cycle_group,42,rf_plain,4086,101,0.024718551150269212,163,41,880,35,0.03977272727272727,0.9659090909090909,0.6162790697674418,0.9534223044397463,1.0,0.14285714285714285,0.25,845,0,30,5,0.9157227387996619,0.39273191778370947
GripLost,5,5,cycle_group,42,rf_smote,4086,101,0.024718551150269212,163,41,880,35,0.03977272727272727,0.9590909090909091,0.6144859813084111,0.9499787595581989,0.46153846153846156,0.17142857142857143,0.25,838,7,29,6,0.9000000000000001,0.36655097016421295
GripLost,5,10,cycle_group,42,rf_plain,4086,198,0.048458149779735685,163,41,880,67,0.07613636363636364,0.9306818181818182,0.5641123498794163,0.9029733453609428,1.0,0.08955223880597014,0.1643835616438356,813,0,61,6,0.8606139046465091,0.4283164569387033
GripLost,5,10,cycle_group,42,rf_smote,4086,198,0.048458149779735685,163,41,880,67,0.07613636363636364,0.9306818181818182,0.5957800887054872,0.9076860689668391,0.75,0.13432835820895522,0.22784810126582278,810,3,58,9,0.8496906610857153,0.3948267481220849
GripLost,10,3,cycle_group,42,rf_plain,3046,51,0.01674326986211425,160,40,906,28,0.03090507726269316,0.9690949227373068,0.492152466367713,0.9538849127391876,0.0,0.0,0.0,878,0,28,0,0.9243003579563943,0.32289360739240286
GripLost,10,3,cycle_group,42,rf_smote,3046,51,0.01674326986211425,160,40,906,28,0.03090507726269316,0.9701986754966887,0.526911249927476,0.9565512861120037,1.0,0.03571428571428571,0.06896551724137931,878,0,27,1,0.9000569476082004,0.3094123525512643
GripLost,10,5,cycle_group,42,rf_plain,3046,85,0.027905449770190414,160,40,906,44,0.04856512141280353,0.9525386313465783,0.5100547066591209,0.9304401310427913,1.0,0.022727272727272728,0.044444444444444446,862,0,43,1,0.9080362792659776,0.30536605191635846
GripLost,10,5,cycle_group,42,rf_smote,3046,85,0.027905449770190414,160,40,906,44,0.04856512141280353,0.9514348785871964,0.5644230769230769,0.9351205637629477,0.5,0.09090909090909091,0.15384615384615385,858,4,40,4,0.8861263446530268,0.25970144706295395
GripLost,10,10,cycle_group,42,rf_plain,3046,161,0.05285620485883125,160,40,906,82,0.09050772626931568,0.9061810154525386,0.4753908511870295,0.8647286123137137,0.0,0.0,0.0,821,3,82,0,0.8522969452995501,0.33457972517028856
GripLost,10,10,cycle_group,42,rf_smote,3046,161,0.05285620485883125,160,40,906,82,0.09050772626931568,0.9194260485651214,0.594531465530454,0.8917839693673508,0.8461538461538461,0.13414634146341464,0.23157894736842105,822,2,71,11,0.8366312455600284,0.404362901698212
GripLost,20,3,cycle_group,42,rf_plain,1448,30,0.020718232044198894,145,37,553,6,0.0108499095840868,0.9891500904159132,0.49727272727272726,0.9837547262863718,0.0,0.0,0.0,547,0,6,0,0.8414076782449726,0.06005444454331094
GripLost,20,3,cycle_group,42,rf_smote,1448,30,0.020718232044198894,145,37,553,6,0.0108499095840868,0.9891500904159132,0.49727272727272726,0.9837547262863718,0.0,0.0,0.0,547,0,6,0,0.9216940889701402,0.13726579814131115
GripLost,20,5,cycle_group,42,rf_plain,1448,47,0.0324585635359116,145,37,553,10,0.018083182640144666,0.9819168173598554,0.4954379562043796,0.9729577223109516,0.0,0.0,0.0,543,0,10,0,0.7941988950276243,0.0812851689231515
GripLost,20,5,cycle_group,42,rf_smote,1448,47,0.0324585635359116,145,37,553,10,0.018083182640144666,0.9819168173598554,0.4954379562043796,0.9729577223109516,0.0,0.0,0.0,543,0,10,0,0.8767034990791897,0.14172394665989957
GripLost,20,10,cycle_group,42,rf_plain,1448,70,0.04834254143646409,145,37,553,19,0.034358047016274866,0.9638336347197106,0.49079189686924496,0.9478584916028094,0.0,0.0,0.0,533,1,19,0,0.8627537945988567,0.11561786229942035
GripLost,20,10,cycle_group,42,rf_smote,1448,70,0.04834254143646409,145,37,553,19,0.034358047016274866,0.9493670886075949,0.487012987012987,0.9405603438153167,0.0,0.0,0.0,525,9,19,0,0.8720678099743742,0.12853426371713103
