target,window_size,prediction_horizon,model,threshold,valid_splits,test_positive_count_mean,runs_with_tp_rate,positive_recall_mean,positive_recall_std,positive_recall_median,positive_precision_mean,positive_precision_std,positive_precision_median,positive_f1_mean,positive_f1_std,positive_f1_median,macro_f1_mean,macro_f1_std,macro_f1_median,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_median
ProtectiveStop,10,3,rf_smote,0.2,30,5.0,0.5333333333333333,0.274074074074074,0.32136966821533425,0.19444444444444442,0.2925635767741031,0.35705828949813406,0.09449760765550239,0.24743523429413689,0.2774867212090597,0.14969604863221883,0.6195169133819177,0.13987101182361364,0.556898931100835,0.008687625293531077,0.015411450938282435,0.0033052720454940527
ProtectiveStop,10,3,rf_smote,0.3,30,5.0,0.36666666666666664,0.19259259259259257,0.3167911819310088,0.0,0.2688888888888889,0.3963662105168731,0.0,0.2038672438672439,0.3108118174217439,0.0,0.5992209949286355,0.15592056707080854,0.49839400244166654,0.002014603463489233,0.0040423492340940816,0.0
ProtectiveStop,10,3,rf_smote,0.4,30,5.0,0.26666666666666666,0.1,0.22054925823643567,0.0,0.24444444444444444,0.4210510071443647,0.0,0.13,0.25753101215624924,0.0,0.5623960563072401,0.12932487307502966,0.49836596459708626,0.0005805483481210335,0.001586239581417109,0.0
ProtectiveStop,10,3,rf_smote,0.5,30,5.0,0.1,0.05,0.15605079894653484,0.0,0.1,0.3,0.0,0.06555555555555555,0.20045934903935994,0.0,0.5301739197164012,0.10066927125212896,0.4983195860122315,7.77000777000777e-05,0.00041842772394207477,0.0
GripLost,5,3,rf_smote,0.05,30,16.933333333333334,1.0,0.8117477275810608,0.11941673597348966,0.8333333333333334,0.09324838386972142,0.04070731401518931,0.08651104775481111,0.163962911428742,0.06544573540217233,0.1567895815042435,0.5426448359347776,0.0385874489909247,0.542752031743511,0.1422430715530185,0.03284834835994289,0.13353909465020575
GripLost,5,3,rf_smote,0.1,30,16.933333333333334,1.0,0.6842268348935018,0.14527374549974797,0.6899038461538461,0.16115384782641448,0.07047484628501814,0.1453804347826087,0.2524930905160552,0.09394543464485261,0.23117408906882592,0.6083953329727606,0.04908765787456753,0.5971233246368679,0.0633731034709485,0.01630097104058568,0.0655401710844523
GripLost,5,3,rf_smote,0.15,30,16.933333333333334,1.0,0.6058361823361823,0.15378011683584744,0.6011904761904763,0.22365215989127846,0.10224416151004348,0.21595124536301008,0.3131304937317668,0.11109234529289283,0.3157894736842105,0.6453064829540777,0.05670293675947002,0.6473705867864583,0.037151978695189346,0.009386572332304716,0.038854906871823316
GripLost,5,3,rf_smote,0.2,30,16.933333333333334,1.0,0.5460216388549721,0.1417784714871795,0.5714285714285714,0.27646538554115424,0.11610342704820001,0.277992277992278,0.3507580655653117,0.10514520195784034,0.367827868852459,0.6670410589198522,0.05314665299314714,0.6756617594396119,0.024798698256678298,0.006681051785929579,0.02557268900985559
GripLost,5,3,rf_smote,0.3,30,16.933333333333334,1.0,0.4283735924569258,0.10770756905079888,0.4166666666666667,0.3723203381584461,0.14394010261084786,0.3538899430740038,0.3803270871379435,0.09389970600777532,0.373546511627907,0.684454362854981,0.047244680309694455,0.6816171131545208,0.012526917285665054,0.004521333360529332,0.012165951540515595
GripLost,5,3,rf_smote,0.4,30,16.933333333333334,1.0,0.3407214760548094,0.1066298668182072,0.3333333333333333,0.47551655860479397,0.14916573352438645,0.4880952380952381,0.37936160259277074,0.08212823721716783,0.375,0.6851443208601924,0.041264610707665725,0.6838788144737242,0.00633311056970153,0.002670428397977833,0.0059574511235499315
GripLost,5,3,rf_smote,0.5,30,16.933333333333334,1.0,0.23947642789309456,0.11003048922057161,0.23809523809523808,0.5404978354978354,0.1748310808613126,0.5277777777777778,0.31791715346276717,0.11180536011467873,0.31918505942275044,0.654740899274089,0.056511753534463915,0.6549323445855211,0.003307919679624042,0.0015386093250294311,0.003194343809437551
