target,model,seed,test_block,validation_block,core_train_blocks,final_train_blocks,core_train_windows,validation_windows,final_train_windows,test_windows,train_positive_count,best_epoch,best_validation_loss,model_parameters,device,torch_version,cuda_version,elapsed_seconds
ProtectiveStop,lstm,43,4,5,7,8,3226,470,3696,339,520,34,0.2703548567409211,7713,cuda,2.7.1+cu128,12.8,6.559877899999265
ProtectiveStop,lstm,44,4,5,7,8,3226,470,3696,339,520,28,0.2682950423118916,7713,cuda,2.7.1+cu128,12.8,5.507110799997463
ProtectiveStop,lstm,42,5,7,7,8,3090,475,3565,470,494,9,0.764777091929787,7713,cuda,2.7.1+cu128,12.8,1.8038667000000714
ProtectiveStop,lstm,43,5,7,7,8,3090,475,3565,470,494,11,0.6194240823544954,7713,cuda,2.7.1+cu128,12.8,2.2189938000010443
ProtectiveStop,lstm,44,5,7,7,8,3090,475,3565,470,494,10,0.6738704008805124,7713,cuda,2.7.1+cu128,12.8,1.9358694999973522
ProtectiveStop,lstm,42,7,8,7,8,3371,189,3560,475,494,25,0.03947732597589493,7713,cuda,2.7.1+cu128,12.8,4.178052999995998
ProtectiveStop,lstm,43,7,8,7,8,3371,189,3560,475,494,17,0.10016817599534988,7713,cuda,2.7.1+cu128,12.8,3.274846799999068
ProtectiveStop,lstm,44,7,8,7,8,3371,189,3560,475,494,21,0.07716749608516693,7713,cuda,2.7.1+cu128,12.8,3.872502500002156
ProtectiveStop,lstm,42,8,9,7,8,3285,561,3846,189,546,5,1.011465947045787,7713,cuda,2.7.1+cu128,12.8,1.1807351999959792
ProtectiveStop,lstm,43,8,9,7,8,3285,561,3846,189,546,6,0.9231311931754603,7713,cuda,2.7.1+cu128,12.8,1.3081299999976181
ProtectiveStop,lstm,44,8,9,7,8,3285,561,3846,189,546,5,0.8709504672337768,7713,cuda,2.7.1+cu128,12.8,1.26942049999343
ProtectiveStop,lstm,42,9,10,7,8,2749,725,3474,561,441,15,0.6224335660605596,7713,cuda,2.7.1+cu128,12.8,2.5452561999991303
ProtectiveStop,lstm,43,9,10,7,8,2749,725,3474,561,441,12,0.6869691119522884,7713,cuda,2.7.1+cu128,12.8,2.269384599996556
ProtectiveStop,lstm,44,9,10,7,8,2749,725,3474,561,441,12,0.5981275929253677,7713,cuda,2.7.1+cu128,12.8,2.3404356999963056
ProtectiveStop,lstm,42,10,1,7,8,2881,429,3310,725,419,7,0.6919850133237861,7713,cuda,2.7.1+cu128,12.8,1.3439244000037434
ProtectiveStop,lstm,43,10,1,7,8,2881,429,3310,725,419,8,0.7156598392900053,7713,cuda,2.7.1+cu128,12.8,1.523269600002095
ProtectiveStop,lstm,44,10,1,7,8,2881,429,3310,725,419,9,0.6164593254074906,7713,cuda,2.7.1+cu128,12.8,1.7513428000020212
GripLost,1d_cnn,42,1,2,7,8,3185,421,3606,429,346,20,0.3369563693388624,8801,cuda,2.7.1+cu128,12.8,3.6626545999970403
GripLost,1d_cnn,43,1,2,7,8,3185,421,3606,429,346,26,0.4669166193155665,8801,cuda,2.7.1+cu128,12.8,4.648722700003418
GripLost,1d_cnn,44,1,2,7,8,3185,421,3606,429,346,12,0.49431886285047916,8801,cuda,2.7.1+cu128,12.8,2.6525254000007408
GripLost,1d_cnn,42,2,3,7,8,3188,426,3614,421,394,12,0.5223020930805117,8801,cuda,2.7.1+cu128,12.8,2.444225200000801
GripLost,1d_cnn,43,2,3,7,8,3188,426,3614,421,394,16,0.5789521607994473,8801,cuda,2.7.1+cu128,12.8,4.058949700003723
GripLost,1d_cnn,44,2,3,7,8,3188,426,3614,421,394,11,0.5762309807007302,8801,cuda,2.7.1+cu128,12.8,2.515139099996304
GripLost,1d_cnn,42,3,4,7,8,3270,339,3609,426,386,12,0.4444676247318234,8801,cuda,2.7.1+cu128,12.8,2.530597700002545
GripLost,1d_cnn,43,3,4,7,8,3270,339,3609,426,386,17,0.5056716275503063,8801,cuda,2.7.1+cu128,12.8,3.5011060000033467
GripLost,1d_cnn,44,3,4,7,8,3270,339,3609,426,386,13,0.4503430363373243,8801,cuda,2.7.1+cu128,12.8,2.781549500003166
GripLost,1d_cnn,42,4,5,7,8,3226,470,3696,339,393,27,0.09087181744423319,8801,cuda,2.7.1+cu128,12.8,4.768648500001291
GripLost,1d_cnn,43,4,5,7,8,3226,470,3696,339,393,18,0.12267251030561772,8801,cuda,2.7.1+cu128,12.8,3.5160243999998784
GripLost,1d_cnn,44,4,5,7,8,3226,470,3696,339,393,24,0.12003963248843842,8801,cuda,2.7.1+cu128,12.8,5.014286600002379
GripLost,1d_cnn,42,5,7,7,8,3090,475,3565,470,424,14,0.4323437612307699,8801,cuda,2.7.1+cu128,12.8,2.7530213999998523
GripLost,1d_cnn,43,5,7,7,8,3090,475,3565,470,424,13,0.43572303809617696,8801,cuda,2.7.1+cu128,12.8,2.9277382000000216
GripLost,1d_cnn,44,5,7,7,8,3090,475,3565,470,424,16,0.42779206526906866,8801,cuda,2.7.1+cu128,12.8,2.9649172999997973
GripLost,1d_cnn,42,7,8,7,8,3371,189,3560,475,405,20,0.2818140387535095,8801,cuda,2.7.1+cu128,12.8,3.807794799999101
GripLost,1d_cnn,43,7,8,7,8,3371,189,3560,475,405,30,0.14675721526145935,8801,cuda,2.7.1+cu128,12.8,6.292621600005077
GripLost,1d_cnn,44,7,8,7,8,3371,189,3560,475,405,29,0.19346827268600464,8801,cuda,2.7.1+cu128,12.8,6.079861600002914
GripLost,1d_cnn,42,8,9,7,8,3285,561,3846,189,417,3,1.489875305517047,8801,cuda,2.7.1+cu128,12.8,1.3348145999989356
GripLost,1d_cnn,43,8,9,7,8,3285,561,3846,189,417,1,1.54913172194877,8801,cuda,2.7.1+cu128,12.8,0.7368191999994451
GripLost,1d_cnn,44,8,9,7,8,3285,561,3846,189,417,1,1.546645318548097,8801,cuda,2.7.1+cu128,12.8,0.683819300000323
GripLost,1d_cnn,42,9,10,7,8,2749,725,3474,561,356,7,0.8720429584897798,8801,cuda,2.7.1+cu128,12.8,1.4628105000010692
GripLost,1d_cnn,43,9,10,7,8,2749,725,3474,561,356,8,0.9260876218203841,8801,cuda,2.7.1+cu128,12.8,1.5085620999961975
GripLost,1d_cnn,44,9,10,7,8,2749,725,3474,561,356,8,0.9317366720890177,8801,cuda,2.7.1+cu128,12.8,2.0378612999993493
GripLost,1d_cnn,42,10,1,7,8,2881,429,3310,725,367,9,0.5695265510004439,8801,cuda,2.7.1+cu128,12.8,2.093089800000598
GripLost,1d_cnn,43,10,1,7,8,2881,429,3310,725,367,8,0.7526962860619827,8801,cuda,2.7.1+cu128,12.8,2.84645509999973
GripLost,1d_cnn,44,10,1,7,8,2881,429,3310,725,367,9,0.6808325953972645,8801,cuda,2.7.1+cu128,12.8,1.9786182000025292
GripLost,lstm,42,1,2,7,8,3185,421,3606,429,346,22,0.4913856998050581,7713,cuda,2.7.1+cu128,12.8,4.591061800005264
GripLost,lstm,43,1,2,7,8,3185,421,3606,429,346,14,0.7428393730641544,7713,cuda,2.7.1+cu128,12.8,2.884689400001662
GripLost,lstm,44,1,2,7,8,3185,421,3606,429,346,20,0.5000443426701915,7713,cuda,2.7.1+cu128,12.8,3.506539399997564
