target,model,seed,test_block,event_cycle_count,detected_event_cycle_count,event_cycle_recall,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_pr_auc
System_Failure,lstm,43,1,7,7,1.0,17,2,0.11764705882352941,0.7919951201201201,0.8666666666666667,0.5555555555555556,0.6770833333333334,0.6925359695157418
System_Failure,lstm,44,1,7,6,0.8571428571428571,17,3,0.17647058823529413,0.7863287853175562,0.8,0.5811965811965812,0.6732673267326733,0.7204395625246922
System_Failure,lstm,42,2,5,5,1.0,18,2,0.1111111111111111,0.7055944055944056,0.4666666666666667,0.6363636363636364,0.5384615384615384,0.4081152713140031
System_Failure,lstm,43,2,5,5,1.0,18,5,0.2777777777777778,0.7725969036479137,0.5230769230769231,0.8831168831168831,0.6570048309178744,0.5812491379258222
System_Failure,lstm,44,2,5,5,1.0,18,4,0.2222222222222222,0.7630765435525028,0.5158730158730159,0.8441558441558441,0.6403940886699507,0.5351517382130533
System_Failure,lstm,42,3,6,6,1.0,18,2,0.1111111111111111,0.7999277456647399,0.7397260273972602,0.6206896551724138,0.675,0.6595255073333576
System_Failure,lstm,43,3,6,6,1.0,18,3,0.16666666666666666,0.811023226616447,0.6888888888888889,0.7126436781609196,0.7005649717514124,0.7163155938372809
System_Failure,lstm,44,3,6,6,1.0,18,3,0.16666666666666666,0.8146407685881369,0.7283950617283951,0.6781609195402298,0.7023809523809523,0.7651044774385783
System_Failure,lstm,42,4,9,9,1.0,8,3,0.375,0.7533236312146003,0.5434782608695652,0.872093023255814,0.6696428571428571,0.7221201161268362
System_Failure,lstm,43,4,9,9,1.0,8,2,0.25,0.8025626092020967,0.6293103448275862,0.8488372093023255,0.7227722772277227,0.8000376430079166
System_Failure,lstm,44,4,9,9,1.0,8,3,0.375,0.7626170879974019,0.568,0.8255813953488372,0.6729857819905213,0.6493148054416097
System_Failure,lstm,42,5,6,6,1.0,19,2,0.10526315789473684,0.8680701754385964,0.6880733944954128,0.9259259259259259,0.7894736842105263,0.8021195863263963
System_Failure,lstm,43,5,6,6,1.0,19,2,0.10526315789473684,0.8736702127659575,0.7009345794392523,0.9259259259259259,0.7978723404255319,0.7543827719004946
System_Failure,lstm,44,5,6,6,1.0,19,3,0.15789473684210525,0.8308013535891713,0.6015625,0.9506172839506173,0.7368421052631579,0.7685280058558016
System_Failure,lstm,42,7,9,9,1.0,15,2,0.13333333333333333,0.8477141086199158,0.8313253012048193,0.69,0.7540983606557377,0.8290595332328453
System_Failure,lstm,43,7,9,9,1.0,15,2,0.13333333333333333,0.8368101363236587,0.7717391304347826,0.71,0.7395833333333334,0.8158092446946954
System_Failure,lstm,44,7,9,9,1.0,15,2,0.13333333333333333,0.840945846780801,0.8192771084337349,0.68,0.7431693989071039,0.8615874323282425
System_Failure,lstm,42,8,5,3,0.6,7,3,0.42857142857142855,0.6791760333990916,0.4857142857142857,0.4722222222222222,0.4788732394366197,0.6648809119666375
System_Failure,lstm,43,8,5,4,0.8,7,0,0.0,0.7120176947652986,0.5862068965517241,0.4722222222222222,0.5230769230769231,0.6953733117011553
System_Failure,lstm,44,8,5,4,0.8,7,0,0.0,0.7178542993630573,0.6071428571428571,0.4722222222222222,0.53125,0.702242178148983
System_Failure,lstm,42,9,20,20,1.0,6,4,0.6666666666666666,0.7105343894683995,0.5857142857142857,0.6684782608695652,0.6243654822335025,0.731830899657308
System_Failure,lstm,43,9,20,18,0.9,6,3,0.5,0.7309253246753247,0.6607142857142857,0.6032608695652174,0.6306818181818182,0.7580457846694681
System_Failure,lstm,44,9,20,20,1.0,6,4,0.6666666666666666,0.7496513638645619,0.6333333333333333,0.7228260869565217,0.6751269035532995,0.7927033627375758
System_Failure,lstm,42,10,20,20,1.0,7,7,1.0,0.7343766356118497,0.573076923076923,0.7233009708737864,0.6394849785407726,0.7768918758826419
System_Failure,lstm,43,10,20,18,0.9,7,4,0.5714285714285714,0.7638296612177209,0.7151162790697675,0.5970873786407767,0.6507936507936508,0.759913587906707
System_Failure,lstm,44,10,20,19,0.95,7,1,0.14285714285714285,0.7775551825581606,0.6508620689655172,0.7330097087378641,0.6894977168949772,0.8075688181601057
ProtectiveStop,1d_cnn,42,1,2,2,1.0,22,0,0.0,0.8160238137282106,0.7272727272727273,0.5925925925925926,0.6530612244897959,0.5958037504982464
ProtectiveStop,1d_cnn,43,1,2,1,0.5,22,0,0.0,0.6420410783055199,0.5454545454545454,0.2222222222222222,0.3157894736842105,0.43104994430349697
ProtectiveStop,1d_cnn,44,1,2,2,1.0,22,0,0.0,0.7861584070099955,0.7,0.5185185185185185,0.5957446808510638,0.5203124474483205
ProtectiveStop,1d_cnn,42,2,2,2,1.0,21,2,0.09523809523809523,0.7769452013321223,0.4520547945205479,0.9428571428571428,0.6111111111111112,0.6227348169780201
ProtectiveStop,1d_cnn,43,2,2,2,1.0,21,1,0.047619047619047616,0.7953545200152397,0.4852941176470588,0.9428571428571428,0.6407766990291263,0.8268165668182109
ProtectiveStop,1d_cnn,44,2,2,2,1.0,21,2,0.09523809523809523,0.7631360078277887,0.42857142857142855,0.9428571428571428,0.5892857142857143,0.5648997073869917
ProtectiveStop,1d_cnn,42,3,3,1,0.3333333333333333,21,10,0.47619047619047616,0.6330749354005167,0.3170731707317073,0.35135135135135137,0.3333333333333333,0.5191509725853987
ProtectiveStop,1d_cnn,43,3,3,3,1.0,21,3,0.14285714285714285,0.7558419440941916,0.5238095238095238,0.5945945945945946,0.5569620253164557,0.6459429066671618
ProtectiveStop,1d_cnn,44,3,3,2,0.6666666666666666,21,3,0.14285714285714285,0.7420940170940171,0.5428571428571428,0.5135135135135135,0.5277777777777778,0.6150017492835227
ProtectiveStop,1d_cnn,42,4,3,3,1.0,14,1,0.07142857142857142,0.7947941888619855,0.52,0.9069767441860465,0.6610169491525424,0.7875230044426569
ProtectiveStop,1d_cnn,43,4,3,3,1.0,14,2,0.14285714285714285,0.7671146953405018,0.4805194805194805,0.8604651162790697,0.6166666666666667,0.7723265521506667
ProtectiveStop,1d_cnn,44,4,3,3,1.0,14,4,0.2857142857142857,0.7596962025316456,0.4634146341463415,0.8837209302325582,0.608,0.7901149123310768
ProtectiveStop,1d_cnn,42,5,5,5,1.0,20,6,0.3,0.7825684678016285,0.5454545454545454,0.782608695652174,0.6428571428571429,0.7316068496063031
ProtectiveStop,1d_cnn,43,5,5,5,1.0,20,14,0.7,0.7056821585123472,0.4108527131782946,0.7681159420289855,0.5353535353535354,0.6572833099470802
ProtectiveStop,1d_cnn,44,5,5,5,1.0,20,8,0.4,0.7955869987532256,0.5398230088495575,0.8840579710144928,0.6703296703296703,0.7598873114535478
ProtectiveStop,1d_cnn,42,7,8,7,0.875,16,0,0.0,0.8589332382988832,0.8679245283018868,0.6666666666666666,0.7540983606557377,0.8421967399364914
ProtectiveStop,1d_cnn,43,7,8,7,0.875,16,0,0.0,0.8701476216511754,0.8727272727272727,0.6956521739130435,0.7741935483870968,0.8444426675816431
ProtectiveStop,1d_cnn,44,7,8,7,0.875,16,0,0.0,0.8664242424242424,0.8571428571428571,0.6956521739130435,0.768,0.8293310887192423
ProtectiveStop,1d_cnn,42,8,3,3,1.0,9,5,0.5555555555555556,0.842064665423925,0.5666666666666667,1.0,0.723404255319149,1.0
ProtectiveStop,1d_cnn,43,8,3,3,1.0,9,4,0.4444444444444444,0.815609756097561,0.5151515151515151,1.0,0.68,0.974640522875817
ProtectiveStop,1d_cnn,44,8,3,3,1.0,9,1,0.1111111111111111,0.9285228046289993,0.7727272727272727,1.0,0.8717948717948718,0.988795518207283
ProtectiveStop,1d_cnn,42,9,17,16,0.9411764705882353,9,2,0.2222222222222222,0.8385956119835171,0.7419354838709677,0.7540983606557377,0.7479674796747967,0.8388955551017179
ProtectiveStop,1d_cnn,43,9,17,15,0.8823529411764706,9,2,0.2222222222222222,0.8542099792099792,0.8035714285714286,0.7377049180327869,0.7692307692307693,0.8320781607014675
ProtectiveStop,1d_cnn,44,9,17,15,0.8823529411764706,9,1,0.1111111111111111,0.8503970448798989,0.8269230769230769,0.7049180327868853,0.7610619469026548,0.825088268800095
ProtectiveStop,1d_cnn,42,10,19,19,1.0,8,4,0.5,0.8693693693693694,0.6938775510204082,0.9444444444444444,0.8,0.9218588431593222
ProtectiveStop,1d_cnn,43,10,19,19,1.0,8,3,0.375,0.8738370925640855,0.7068062827225131,0.9375,0.8059701492537313,0.9349831711896504
ProtectiveStop,1d_cnn,44,10,19,19,1.0,8,7,0.875,0.6757637224168664,0.4040114613180516,0.9791666666666666,0.5720081135902637,0.9235413777893724
ProtectiveStop,lstm,42,1,2,1,0.5,22,0,0.0,0.5650851581508516,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.1537833158236673
ProtectiveStop,lstm,43,1,2,1,0.5,22,0,0.0,0.5383093212983857,0.25,0.07407407407407407,0.11428571428571428,0.2609813286866434
ProtectiveStop,lstm,44,1,2,1,0.5,22,0,0.0,0.6420410783055199,0.5454545454545454,0.2222222222222222,0.3157894736842105,0.33553651782969146
ProtectiveStop,lstm,42,2,2,2,1.0,21,7,0.3333333333333333,0.7872715396655205,0.4605263157894737,1.0,0.6306306306306306,0.9333748057652606
ProtectiveStop,lstm,43,2,2,2,1.0,21,3,0.14285714285714285,0.8057321575061526,0.49295774647887325,1.0,0.660377358490566,0.9506984394120884
ProtectiveStop,lstm,44,2,2,2,1.0,21,0,0.0,0.8477212442729685,0.6037735849056604,0.9142857142857143,0.7272727272727273,0.8911256174233609
