target,variant,windows,feature_count,summary_feature_count,window_tn,window_fp,window_fn,window_tp,window_accuracy,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_roc_auc,window_pr_auc
ProtectiveStop,temperature_only,4035,6,42,3400,72,548,15,0.8463444857496902,0.4812979473356832,0.1724137931034483,0.02664298401420959,0.046153846153846156,0.6394257331936386,0.20230697507129025
ProtectiveStop,drop_current_family,4035,12,84,3305,167,169,394,0.916728624535316,0.8263472256235955,0.7023172905525846,0.6998223801065719,0.701067615658363,0.9160707635199842,0.7566010569309572
ProtectiveStop,drop_speed,4035,13,91,3381,91,170,393,0.9353159851301115,0.8567763635406709,0.8119834710743802,0.6980461811722913,0.7507163323782235,0.9561204172839708,0.8144751691191778
ProtectiveStop,drop_temperature,4035,13,91,3356,116,113,450,0.9432465923172243,0.8820866345455796,0.7950530035335689,0.7992895204262878,0.7971656333038086,0.9672508205711667,0.8517467284544634
ProtectiveStop,drop_tool_current,4035,18,126,3362,110,130,433,0.9405204460966543,0.8742694279960074,0.7974217311233885,0.7690941385435168,0.783001808318264,0.9587458357548027,0.850698501652636
GripLost,all_19,4035,19,133,3567,32,226,210,0.9360594795539033,0.7922832145730376,0.8677685950413223,0.481651376146789,0.6194690265486725,0.9068679245763988,0.7266515659536292
GripLost,current_family_only,4035,7,49,3500,99,191,245,0.9281288723667905,0.7942123034715627,0.7122093023255814,0.5619266055045872,0.6282051282051282,0.9045577772622874,0.7088149677984501
GripLost,joint_current_only,4035,6,42,3486,113,174,262,0.9288723667905824,0.8032893899812963,0.6986666666666667,0.6009174311926605,0.6461159062885327,0.9048891639114841,0.7126776762442348
GripLost,tool_current_only,4035,1,7,3083,516,392,44,0.7749690210656753,0.479998024328016,0.07857142857142857,0.10091743119266056,0.08835341365461848,0.47983862744748157,0.10016478832502175
GripLost,speed_only,4035,6,42,3385,214,223,213,0.8916976456009913,0.7164956948479824,0.49882903981264637,0.48853211009174313,0.4936268829663963,0.7806778004083703,0.5220230296719679
GripLost,temperature_only,4035,6,42,3577,22,432,4,0.8874845105328377,0.4788209949881874,0.15384615384615385,0.009174311926605505,0.017316017316017316,0.5311930429196693,0.12033784746265369
GripLost,drop_current_family,4035,12,84,3584,15,369,67,0.9048327137546468,0.60391990053007,0.8170731707317073,0.1536697247706422,0.25868725868725867,0.7492706307307586,0.4000433713678059
GripLost,drop_speed,4035,13,91,3567,32,281,155,0.9224287484510533,0.7277809737770238,0.8288770053475936,0.3555045871559633,0.49759229534510435,0.8946346589649009,0.6541208846010825
GripLost,drop_temperature,4035,13,91,3534,65,175,261,0.9405204460966543,0.8260993237914227,0.8006134969325154,0.5986238532110092,0.6850393700787402,0.9061876260225191,0.7551374714342135
GripLost,drop_tool_current,4035,18,126,3566,33,223,213,0.9365551425030979,0.7949913230140975,0.8658536585365854,0.48853211009174313,0.624633431085044,0.9057756231980851,0.73897992195588
