target,window_size,prediction_horizon,model,split_seed,train_windows,train_positive_count,train_positive_rate,train_cycle_runs,test_cycle_runs,threshold,test_windows,positive_count,positive_rate,positive_recall,positive_precision,positive_f1,macro_f1,false_positive_rate,tn,fp,fn,tp
System_Failure,5,10,rf_smote,52,2186,118,0.053979871912168347,132,34,0.15,559,83,0.148479427549195,0.7590361445783133,0.3888888888888889,0.5142857142857142,0.6889870724922271,0.20798319327731093,377,99,20,63
System_Failure,5,10,rf_smote,52,2186,118,0.053979871912168347,132,34,0.2,559,83,0.148479427549195,0.6265060240963856,0.47706422018348627,0.5416666666666666,0.7233171346292296,0.11974789915966387,419,57,31,52
System_Failure,5,10,rf_smote,52,2186,118,0.053979871912168347,132,34,0.3,559,83,0.148479427549195,0.26506024096385544,0.6111111111111112,0.3697478991596639,0.6473364120422944,0.029411764705882353,462,14,61,22
System_Failure,5,10,rf_smote,52,2186,118,0.053979871912168347,132,34,0.4,559,83,0.148479427549195,0.08433734939759036,0.5384615384615384,0.14583333333333334,0.5327992498369211,0.012605042016806723,470,6,76,7
System_Failure,5,10,rf_smote,52,2186,118,0.053979871912168347,132,34,0.5,559,83,0.148479427549195,0.04819277108433735,0.6666666666666666,0.0898876404494382,0.5055852196416287,0.004201680672268907,474,2,79,4
System_Failure,5,10,rf_smote,53,2200,158,0.07181818181818182,132,34,0.05,545,43,0.07889908256880734,0.9534883720930233,0.11081081081081082,0.19854721549636803,0.3548127510273568,0.6553784860557769,173,329,2,41
System_Failure,5,10,rf_smote,53,2200,158,0.07181818181818182,132,34,0.1,545,43,0.07889908256880734,0.7441860465116279,0.14479638009049775,0.24242424242424243,0.5001467459094577,0.37649402390438247,313,189,11,32
System_Failure,5,10,rf_smote,53,2200,158,0.07181818181818182,132,34,0.15,545,43,0.07889908256880734,0.5581395348837209,0.17518248175182483,0.26666666666666666,0.5608058608058608,0.2250996015936255,389,113,19,24
System_Failure,5,10,rf_smote,53,2200,158,0.07181818181818182,132,34,0.2,545,43,0.07889908256880734,0.4418604651162791,0.20212765957446807,0.2773722627737226,0.5867448931916881,0.14940239043824702,427,75,24,19
System_Failure,5,10,rf_smote,53,2200,158,0.07181818181818182,132,34,0.3,545,43,0.07889908256880734,0.27906976744186046,0.24489795918367346,0.2608695652173913,0.5963666463361506,0.07370517928286853,465,37,31,12
System_Failure,5,10,rf_smote,53,2200,158,0.07181818181818182,132,34,0.4,545,43,0.07889908256880734,0.18604651162790697,0.32,0.23529411764705882,0.5922067457119834,0.03386454183266932,485,17,35,8
System_Failure,5,10,rf_smote,53,2200,158,0.07181818181818182,132,34,0.5,545,43,0.07889908256880734,0.11627906976744186,0.4166666666666667,0.18181818181818182,0.5691699604743083,0.013944223107569721,495,7,38,5
System_Failure,5,10,rf_smote,54,2244,140,0.062388591800356503,132,34,0.05,501,61,0.1217564870259481,0.9180327868852459,0.1702127659574468,0.28717948717948716,0.4164655605832076,0.6204545454545455,167,273,5,56
System_Failure,5,10,rf_smote,54,2244,140,0.062388591800356503,132,34,0.1,501,61,0.1217564870259481,0.819672131147541,0.23696682464454977,0.36764705882352944,0.5660153102336825,0.3659090909090909,279,161,11,50
System_Failure,5,10,rf_smote,54,2244,140,0.062388591800356503,132,34,0.15,501,61,0.1217564870259481,0.5409836065573771,0.22602739726027396,0.3188405797101449,0.5707410445720535,0.25681818181818183,327,113,28,33
System_Failure,5,10,rf_smote,54,2244,140,0.062388591800356503,132,34,0.2,501,61,0.1217564870259481,0.32786885245901637,0.18018018018018017,0.23255813953488372,0.5367609974782852,0.20681818181818182,349,91,41,20
System_Failure,5,10,rf_smote,54,2244,140,0.062388591800356503,132,34,0.3,501,61,0.1217564870259481,0.13114754098360656,0.13559322033898305,0.13333333333333333,0.5077097505668935,0.1159090909090909,389,51,53,8
System_Failure,5,10,rf_smote,54,2244,140,0.062388591800356503,132,34,0.4,501,61,0.1217564870259481,0.08196721311475409,0.17857142857142858,0.11235955056179775,0.512915810330187,0.05227272727272727,417,23,56,5
System_Failure,5,10,rf_smote,54,2244,140,0.062388591800356503,132,34,0.5,501,61,0.1217564870259481,0.01639344262295082,0.07142857142857142,0.02666666666666667,0.47395900755124054,0.029545454545454545,427,13,60,1
System_Failure,5,10,rf_smote,55,2225,172,0.07730337078651685,132,34,0.05,520,29,0.05576923076923077,0.9310344827586207,0.07917888563049853,0.14594594594594595,0.33715207745058495,0.639511201629328,177,314,2,27
System_Failure,5,10,rf_smote,55,2225,172,0.07730337078651685,132,34,0.1,520,29,0.05576923076923077,0.5172413793103449,0.06818181818181818,0.12048192771084337,0.4218085997593408,0.4175152749490835,286,205,14,15
System_Failure,5,10,rf_smote,55,2225,172,0.07730337078651685,132,34,0.15,520,29,0.05576923076923077,0.41379310344827586,0.08053691275167785,0.1348314606741573,0.4780885841653849,0.2790224032586558,354,137,17,12
System_Failure,5,10,rf_smote,55,2225,172,0.07730337078651685,132,34,0.2,520,29,0.05576923076923077,0.2413793103448276,0.06306306306306306,0.1,0.48,0.21181262729124237,387,104,22,7
System_Failure,5,10,rf_smote,55,2225,172,0.07730337078651685,132,34,0.3,520,29,0.05576923076923077,0.10344827586206896,0.04054054054054054,0.05825242718446602,0.47736527442467697,0.1446028513238289,420,71,26,3
System_Failure,5,10,rf_smote,55,2225,172,0.07730337078651685,132,34,0.4,520,29,0.05576923076923077,0.034482758620689655,0.02564102564102564,0.029411764705882353,0.4807552650689906,0.07739307535641547,453,38,28,1
System_Failure,5,10,rf_smote,55,2225,172,0.07730337078651685,132,34,0.5,520,29,0.05576923076923077,0.0,0.0,0.0,0.47527749747729564,0.04073319755600815,471,20,29,0
System_Failure,5,10,rf_smote,56,2208,165,0.07472826086956522,132,34,0.05,537,36,0.0670391061452514,1.0,0.10650887573964497,0.1925133689839572,0.3805423987776929,0.6027944111776448,199,302,0,36
System_Failure,5,10,rf_smote,56,2208,165,0.07472826086956522,132,34,0.1,537,36,0.0670391061452514,0.8611111111111112,0.1341991341991342,0.23220973782771537,0.48909123818275485,0.3992015968063872,301,200,5,31
System_Failure,5,10,rf_smote,56,2208,165,0.07472826086956522,132,34,0.15,537,36,0.0670391061452514,0.75,0.15976331360946747,0.2634146341463415,0.5448258441157484,0.2834331337325349,359,142,9,27
System_Failure,5,10,rf_smote,56,2208,165,0.07472826086956522,132,34,0.2,537,36,0.0670391061452514,0.5277777777777778,0.1532258064516129,0.2375,0.5520103938730854,0.20958083832335328,396,105,17,19
System_Failure,5,10,rf_smote,56,2208,165,0.07472826086956522,132,34,0.3,537,36,0.0670391061452514,0.3611111111111111,0.18055555555555555,0.24074074074074073,0.5779273061881758,0.11776447105788423,442,59,23,13
System_Failure,5,10,rf_smote,56,2208,165,0.07472826086956522,132,34,0.4,537,36,0.0670391061452514,0.2222222222222222,0.19047619047619047,0.20512820512820512,0.5714396045721347,0.06786427145708583,467,34,28,8
System_Failure,5,10,rf_smote,56,2208,165,0.07472826086956522,132,34,0.5,537,36,0.0670391061452514,0.1388888888888889,0.29411764705882354,0.18867924528301888,0.57328183615767,0.023952095808383235,489,12,31,5
System_Failure,5,10,rf_smote,57,2157,156,0.07232267037552156,132,34,0.05,588,45,0.07653061224489796,1.0,0.11811023622047244,0.2112676056338028,0.3816338028169014,0.6187845303867403,207,336,0,45
System_Failure,5,10,rf_smote,57,2157,156,0.07232267037552156,132,34,0.1,588,45,0.07653061224489796,0.8,0.14007782101167315,0.23841059602649006,0.48762635064482396,0.40699815837937386,322,221,9,36
System_Failure,5,10,rf_smote,57,2157,156,0.07232267037552156,132,34,0.15,588,45,0.07653061224489796,0.6444444444444445,0.14871794871794872,0.24166666666666667,0.5236111111111111,0.30570902394106814,377,166,16,29
System_Failure,5,10,rf_smote,57,2157,156,0.07232267037552156,132,34,0.2,588,45,0.07653061224489796,0.5111111111111111,0.16312056737588654,0.24731182795698925,0.5529488432714239,0.21731123388581952,425,118,22,23
System_Failure,5,10,rf_smote,57,2157,156,0.07232267037552156,132,34,0.3,588,45,0.07653061224489796,0.2,0.11538461538461539,0.14634146341463414,0.5233131818497672,0.1270718232044199,474,69,36,9
