target,model,feature,window_statistic,false_alarm_window_count,true_negative_window_count,false_alarm_median,true_negative_median,true_negative_iqr,robust_shift_iqr,absolute_robust_shift_iqr
System_Failure,lstm,Power_J4,range,41,1686,0.02688371087424457,0.043556077405810356,0.036046069115400314,-0.46252939476395466,0.46252939476395466
System_Failure,lstm,Power_J5,range,41,1686,0.19978314265608788,0.20558661222457886,0.11834242194890976,-0.04903963830482047,0.04903963830482047
System_Failure,lstm,Abs_Current_Sum,range,41,1686,4.9412994384765625,5.830825686454773,3.186116933822632,-0.27918819881823254,0.27918819881823254
ProtectiveStop,rf_window_features,Current_J0,mean,14,2128,-0.10608350597321986,-0.05598500669002533,0.23188989635091276,-0.2160443385915435,0.2160443385915435
ProtectiveStop,rf_window_features,Current_J1,mean,14,2128,-2.279277819395065,-2.1377583920955656,0.3435605984181167,-0.41191984165561657,0.41191984165561657
ProtectiveStop,rf_window_features,Current_J2,mean,14,2128,-1.2180284410715103,-1.182582603394985,0.1759915314614775,-0.2014064959954274,0.2014064959954274
ProtectiveStop,rf_window_features,Current_J3,mean,14,2128,-0.7033352933824062,-0.5661700704135001,0.14965050732716922,-0.9165703840150202,0.9165703840150202
ProtectiveStop,rf_window_features,Current_J4,mean,14,2128,0.08866825071163476,-0.013883241720031947,0.15790520218433812,0.6494497395465689,0.6494497395465689
ProtectiveStop,rf_window_features,Current_J5,mean,14,2128,0.049360190704464915,-0.006278431331156752,0.04023306767339818,1.3829077734584363,1.3829077734584363
ProtectiveStop,rf_window_features,Temperature_J0,mean,14,2128,33.7,33.85,5.596874999999997,-0.02680067001675018,0.02680067001675018
ProtectiveStop,rf_window_features,Temperature_J1,mean,14,2128,36.215625,36.36875,6.685937500000001,-0.022902547324140512,0.022902547324140512
ProtectiveStop,rf_window_features,Temperature_J2,mean,14,2128,36.6125,36.8125,6.868749999999999,-0.029117379435851194,0.029117379435851194
ProtectiveStop,rf_window_features,Temperature_J3,mean,14,2128,39.68125,39.85,6.560937500000001,-0.02572040962133884,0.02572040962133884
ProtectiveStop,rf_window_features,Temperature_J4,mean,14,2128,41.2375,41.415625000000006,7.626562500000006,-0.02335586969883331,0.02335586969883331
ProtectiveStop,rf_window_features,Temperature_J5,mean,14,2128,40.353125000000006,40.525,7.862500000000004,-0.02186009538950624,0.02186009538950624
ProtectiveStop,rf_window_features,Speed_J0,mean,14,2128,-0.00014200378709574576,-0.0009359689640405123,0.06933745085309889,0.011450740792690707,0.011450740792690707
ProtectiveStop,rf_window_features,Speed_J1,mean,14,2128,-0.0014955388011003378,0.0002794231739244424,0.01620669002340941,-0.10952032601727892,0.10952032601727892
ProtectiveStop,rf_window_features,Speed_J2,mean,14,2128,-0.002505211315292399,0.0023987104083062153,0.14082815750971603,-0.034822025724935604,0.034822025724935604
ProtectiveStop,rf_window_features,Speed_J3,mean,14,2128,0.007147068688209402,-0.00025167967542074623,0.1463271540484461,0.050563057907765815,0.050563057907765815
ProtectiveStop,rf_window_features,Speed_J4,mean,14,2128,0.0003800380105531076,-0.0025160917915090296,0.019563944594483476,0.14803404232082984,0.14803404232082984
ProtectiveStop,rf_window_features,Speed_J5,mean,14,2128,0.009355164589827332,-0.0021820977490278892,0.096572984759313,0.11946676772608116,0.11946676772608116
ProtectiveStop,rf_window_features,Tool_current,mean,14,2128,0.09445027112960816,0.09784111976623536,0.03206818401813505,-0.10573871706329303,0.10573871706329303
ProtectiveStop,rf_window_features,Power_J0,mean,14,2128,0.0051483956292486255,0.003906933379170141,0.01704821699576655,0.07282065041680118,0.07282065041680118
ProtectiveStop,rf_window_features,Power_J1,mean,14,2128,0.003045709221623838,0.0014619941939599506,0.03980730472394502,0.03978453298073321,0.03978453298073321
ProtectiveStop,rf_window_features,Power_J2,mean,14,2128,0.005014760502672289,0.0807880462234607,0.2673745175365184,-0.2833975594193982,0.2833975594193982
ProtectiveStop,rf_window_features,Power_J3,mean,14,2128,0.02899896274138882,0.09407694306658602,0.1436013527578325,-0.45318500888319546,0.45318500888319546
ProtectiveStop,rf_window_features,Power_J4,mean,14,2128,-7.40768751157361e-06,-0.0011960145668124637,0.006033263892988517,0.1970089325418394,0.1970089325418394
ProtectiveStop,rf_window_features,Power_J5,mean,14,2128,0.012871287164216483,0.015596884340720863,0.013007362936338042,-0.2095426405678288,0.2095426405678288
ProtectiveStop,rf_window_features,Abs_Current_Sum,mean,14,2128,4.869838285446168,4.856186270713806,0.876483452320099,0.015575895581626703,0.015575895581626703
ProtectiveStop,rf_window_features,Current_J0,range,14,2128,0.9101303666830063,2.086002230644226,2.811243414878845,-0.41827465303707817,0.41827465303707817
ProtectiveStop,rf_window_features,Current_J1,range,14,2128,2.5371167063713074,1.8951013088226318,1.6537888050079346,0.3882088182025124,0.3882088182025124
ProtectiveStop,rf_window_features,Current_J2,range,14,2128,1.1741596460342407,1.4432711005210876,0.9854336827993393,-0.2730893607395042,0.2730893607395042
ProtectiveStop,rf_window_features,Current_J3,range,14,2128,1.1887610703706741,1.3628870248794556,1.1322734355926514,-0.1537843678348251,0.1537843678348251
ProtectiveStop,rf_window_features,Current_J4,range,14,2128,1.0267758220434189,1.493175983428955,1.7538291364908218,-0.26593249689005666,0.26593249689005666
ProtectiveStop,rf_window_features,Current_J5,range,14,2128,0.424016535282135,0.432022862136364,0.08290379121899605,-0.09657371196788471,0.09657371196788471
ProtectiveStop,rf_window_features,Temperature_J0,range,14,2128,0.0625,0.0625,0.0,,
ProtectiveStop,rf_window_features,Temperature_J1,range,14,2128,0.0625,0.0625,0.0,,
ProtectiveStop,rf_window_features,Temperature_J2,range,14,2128,0.0625,0.0625,0.0,,
ProtectiveStop,rf_window_features,Temperature_J3,range,14,2128,0.0625,0.0625,0.0,,
ProtectiveStop,rf_window_features,Temperature_J4,range,14,2128,0.0625,0.0625,0.0625,0.0,0.0
ProtectiveStop,rf_window_features,Temperature_J5,range,14,2128,0.0625,0.0625,0.0,,
ProtectiveStop,rf_window_features,Speed_J0,range,14,2128,0.29610463976860046,0.5114690437912941,0.2793355733156204,-0.7709881039009451,0.7709881039009451
