target,variant,feature_columns,feature_count,summary_feature_count,test_block,train_blocks,train_windows,test_windows,train_positive_count,decision_threshold,baseline_12_match,elapsed_seconds
System_Failure,drop_speed,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Tool_current,13,91,9,8,3474,561,790,0.5,,2.4383687999979884
System_Failure,drop_speed,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Tool_current,13,91,10,8,3310,725,768,0.5,,1.954684600001201
System_Failure,drop_temperature,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,13,91,1,8,3606,429,857,0.5,,2.2740279999998165
System_Failure,drop_temperature,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,13,91,2,8,3614,421,897,0.5,,2.2837347999993654
System_Failure,drop_temperature,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,13,91,3,8,3609,426,887,0.5,,2.5995064999988244
System_Failure,drop_temperature,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,13,91,4,8,3696,339,888,0.5,,2.6144926999986637
System_Failure,drop_temperature,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,13,91,5,8,3565,470,893,0.5,,3.371187299999292
System_Failure,drop_temperature,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,13,91,7,8,3560,475,874,0.5,,5.1615315999988525
System_Failure,drop_temperature,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,13,91,8,8,3846,189,938,0.5,,3.2675510000008217
System_Failure,drop_temperature,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,13,91,9,8,3474,561,790,0.5,,2.3399824000007357
System_Failure,drop_temperature,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5;Tool_current,13,91,10,8,3310,725,768,0.5,,2.722467699997651
