source,candidate,target,event_cycles,detected_event_cycles,event_cycle_recall,target_negative_cycles,target_negative_alert_cycles,target_negative_alert_rate,true_normal_cycles,true_normal_false_alarm_cycles,true_normal_false_alarm_rate,true_normal_false_alarm_rate_ci95_low,true_normal_false_alarm_rate_ci95_high,other_fault_only_cycles,cross_fault_alert_cycles,cross_fault_alert_rate,cross_fault_alert_rate_ci95_low,cross_fault_alert_rate_ci95_high
14_sensor_ablation,speed_only,System_Failure,87,85,0.9770114942528736,115,27,0.23478260869565218,115,27,0.23478260869565218,0.16666880256864122,0.3200423115044726,0,0,,,
14_sensor_ablation,speed_only,ProtectiveStop,62,61,0.9838709677419355,140,17,0.12142857142857143,115,10,0.08695652173913043,0.04791849741533478,0.1526971720427934,25,7,0.28,0.14283853850956563,0.47576605190361576
14_sensor_ablation,speed_only,GripLost,39,36,0.9230769230769231,163,49,0.3006134969325153,115,27,0.23478260869565218,0.16666880256864122,0.3200423115044726,48,22,0.4583333333333333,0.32575242292867446,0.5970892545435019
14_sensor_ablation,temperature_only,System_Failure,87,22,0.25287356321839083,115,9,0.0782608695652174,115,9,0.0782608695652174,0.041717707746864535,0.14206881791038214,0,0,,,
14_sensor_ablation,temperature_only,ProtectiveStop,62,10,0.16129032258064516,140,4,0.02857142857142857,115,2,0.017391304347826087,0.004782352362605557,0.06120016668847053,25,2,0.08,0.022220401284847563,0.24966108950395313
14_sensor_ablation,temperature_only,GripLost,39,1,0.02564102564102564,163,4,0.024539877300613498,115,2,0.017391304347826087,0.004782352362605557,0.06120016668847053,48,2,0.041666666666666664,0.011501893489386586,0.13975655870455445
14_sensor_ablation,tool_current_only,System_Failure,87,70,0.8045977011494253,115,100,0.8695652173913043,115,100,0.8695652173913043,0.7959024584651849,0.9193361530722793,0,0,,,
14_sensor_ablation,tool_current_only,ProtectiveStop,62,42,0.6774193548387096,140,86,0.6142857142857143,115,68,0.591304347826087,0.49992055700149574,0.6767854529077602,25,18,0.72,0.5242339480963842,0.8571614614904344
14_sensor_ablation,tool_current_only,GripLost,39,22,0.5641025641025641,163,127,0.7791411042944786,115,87,0.7565217391304347,0.6706233731322356,0.8258363689937688,48,40,0.8333333333333334,0.7042217159874441,0.9130448642351444
15_classical_models,logistic_regression,System_Failure,87,86,0.9885057471264368,115,61,0.5304347826086957,115,61,0.5304347826086957,0.4397175935599384,0.6191844097431469,0,0,,,
15_classical_models,logistic_regression,ProtectiveStop,62,60,0.967741935483871,140,38,0.2714285714285714,115,31,0.26956521739130435,0.19688821135037646,0.35713947792626344,25,7,0.28,0.14283853850956563,0.47576605190361576
15_classical_models,logistic_regression,GripLost,39,39,1.0,163,80,0.49079754601226994,115,52,0.45217391304347826,0.36422398053844796,0.5432157285567037,48,28,0.5833333333333334,0.4428133228397628,0.7115033222158844
15_classical_models,random_forest,System_Failure,87,85,0.9770114942528736,115,5,0.043478260869565216,115,5,0.043478260869565216,0.018712101106831386,0.09775784934688925,0,0,,,
15_classical_models,random_forest,ProtectiveStop,62,59,0.9516129032258065,140,4,0.02857142857142857,115,4,0.034782608695652174,0.013607842790201288,0.08603296386263783,25,0,0.0,1.3877787807814457e-17,0.13319225093904846
15_classical_models,random_forest,GripLost,39,36,0.9230769230769231,163,6,0.03680981595092025,115,2,0.017391304347826087,0.004782352362605557,0.06120016668847053,48,4,0.08333333333333333,0.032883756818091775,0.1955330179036728
15_classical_models,rbf_svm,System_Failure,87,83,0.9540229885057471,115,11,0.09565217391304348,115,11,0.09565217391304348,0.054252518982852306,0.16319229427615742,0,0,,,
15_classical_models,rbf_svm,ProtectiveStop,62,56,0.9032258064516129,140,3,0.02142857142857143,115,2,0.017391304347826087,0.004782352362605557,0.06120016668847053,25,1,0.04,0.007096233501987265,0.19544063736193734
15_classical_models,rbf_svm,GripLost,39,37,0.9487179487179487,163,29,0.17791411042944785,115,11,0.09565217391304348,0.054252518982852306,0.16319229427615742,48,18,0.375,0.25215266760868205,0.5163723648078473
