training_scope,model,seed,test_block,validation_block,calibration_blocks,core_train_blocks,final_train_blocks,core_train_windows,validation_windows,final_train_windows,calibration_windows,calibration_normal_cycles,test_windows,train_positive_count,best_epoch,best_validation_loss,threshold_q90,threshold_q95,threshold_q975,model_parameters,device,torch_version,cuda_version,elapsed_seconds
System_Failure_normal_cycles,lstm_autoencoder_19_raw,44,5,7,8;9,5,6,1048,228,1276,188,13,470,0,40,0.700357973575592,0.9866874814033508,1.0164284706115723,1.0164284706115723,15859,cuda,2.7.1+cu128,12.8,4.083437599998433
System_Failure_normal_cycles,lstm_autoencoder_19_raw,42,7,8,9;10,5,6,1205,97,1302,197,13,475,0,40,0.6083611249923706,0.9562772512435913,1.0144197940826416,1.0144197940826416,15859,cuda,2.7.1+cu128,12.8,4.489837299999635
System_Failure_normal_cycles,lstm_autoencoder_19_raw,43,7,8,9;10,5,6,1205,97,1302,197,13,475,0,40,0.6078797578811646,0.9569203853607178,1.0202428102493286,1.0202428102493286,15859,cuda,2.7.1+cu128,12.8,2.5217033000008087
System_Failure_normal_cycles,lstm_autoencoder_19_raw,44,7,8,9;10,5,6,1205,97,1302,197,13,475,0,40,0.6070771217346191,0.9606337547302246,1.0216938257217407,1.0216938257217407,15859,cuda,2.7.1+cu128,12.8,2.6695221999980276
System_Failure_normal_cycles,lstm_autoencoder_19_raw,42,8,9,10;1,5,6,1171,91,1262,368,24,189,0,40,0.5794099569320679,1.3140133619308472,1.358498454093933,1.5374304056167603,15859,cuda,2.7.1+cu128,12.8,2.321787499997299
System_Failure_normal_cycles,lstm_autoencoder_19_raw,43,8,9,10;1,5,6,1171,91,1262,368,24,189,0,40,0.5845401287078857,1.3192367553710938,1.3541101217269897,1.5135462284088135,15859,cuda,2.7.1+cu128,12.8,2.2384955000015907
System_Failure_normal_cycles,lstm_autoencoder_19_raw,44,8,9,10;1,5,6,1171,91,1262,368,24,189,0,40,0.5765811204910278,1.3069337606430054,1.3544840812683105,1.5084431171417236,15859,cuda,2.7.1+cu128,12.8,2.6367624000013166
System_Failure_normal_cycles,lstm_autoencoder_19_raw,42,9,10,1;2,5,6,997,106,1103,533,35,561,0,15,0.6784564852714539,2.968517541885376,3.577777624130249,3.9156057834625244,15859,cuda,2.7.1+cu128,12.8,0.9472050999975181
System_Failure_normal_cycles,lstm_autoencoder_19_raw,43,9,10,1;2,5,6,997,106,1103,533,35,561,0,15,0.6775922775268555,2.8316810131073,3.428412437438965,3.735419750213623,15859,cuda,2.7.1+cu128,12.8,0.9280677000024298
System_Failure_normal_cycles,lstm_autoencoder_19_raw,44,9,10,1;2,5,6,997,106,1103,533,35,561,0,14,0.6747822165489197,2.878438949584961,3.482330799102783,3.785334587097168,15859,cuda,2.7.1+cu128,12.8,0.8819272000000637
System_Failure_normal_cycles,lstm_autoencoder_19_raw,42,10,1,2;3,5,6,804,262,1066,555,36,725,0,18,7.653619831754961,1.4335793256759644,1.594199776649475,1.6365793943405151,15859,cuda,2.7.1+cu128,12.8,1.1230168999973102
System_Failure_normal_cycles,lstm_autoencoder_19_raw,43,10,1,2;3,5,6,804,262,1066,555,36,725,0,18,7.708898438752152,1.417979121208191,1.5579049587249756,1.5982462167739868,15859,cuda,2.7.1+cu128,12.8,1.14866339999935
System_Failure_normal_cycles,lstm_autoencoder_19_raw,44,10,1,2;3,5,6,804,262,1066,555,36,725,0,16,7.441807859726534,1.425639033317566,1.6094704866409302,1.6222126483917236,15859,cuda,2.7.1+cu128,12.8,1.0491890999983298
