target,window_size,model,test_block,train_blocks,train_cycle_runs,test_cycle_runs,train_windows,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc,false_positive_rate,feature_set
System_Failure,20,rf_smote,4,8,180,16,1868,172,80,0.46511627906976744,0.6453488372093024,0.6426308797983582,0.6448052457271135,0.6233766233766234,0.6,0.6114649681528662,63,29,32,48,0.7179347826086957,0.6301295384369103,0.31521739130434784,all_sensors
System_Failure,20,rf_smote,5,8,173,23,1806,234,82,0.3504273504273504,0.8974358974358975,0.8925290875688916,0.8993986213826999,0.7843137254901961,0.975609756097561,0.8695652173913043,130,22,2,80,0.9724406290115533,0.9509457469403216,0.14473684210526316,all_sensors
System_Failure,20,rf_smote,7,8,172,24,1805,235,93,0.39574468085106385,0.774468085106383,0.7376845475032119,0.7581662900322503,0.8703703703703703,0.5053763440860215,0.6394557823129252,135,7,46,47,0.870248371952143,0.8359536285524702,0.04929577464788732,all_sensors
System_Failure,20,rf_smote,8,8,186,10,1964,76,21,0.27631578947368424,0.9342105263157895,0.9189246852997653,0.9346737336193055,0.8636363636363636,0.9047619047619048,0.8837209302325582,52,3,2,19,0.9497835497835498,0.9361870860726695,0.05454545454545454,all_sensors
System_Failure,20,rf_smote,9,8,170,26,1739,301,179,0.5946843853820598,0.6345514950166113,0.6324051869615419,0.6377242982284531,0.7379310344827587,0.5977653631284916,0.6604938271604939,84,38,72,107,0.7367432915102116,0.830754053354606,0.3114754098360656,all_sensors
System_Failure,20,rf_smote,10,8,169,27,1585,455,212,0.46593406593406594,0.5582417582417583,0.5367514094245294,0.5299534419415284,0.5161290322580645,0.8301886792452831,0.6365280289330922,78,165,36,176,0.7567745943007997,0.8148510541791728,0.6790123456790124,all_sensors
System_Failure,20,rf_smote,1,8,172,24,1851,189,86,0.455026455026455,0.8571428571428571,0.851764705882353,0.8543043884220354,0.9402985074626866,0.7325581395348837,0.8235294117647058,99,4,23,63,0.9463761571460827,0.907186962799863,0.038834951456310676,no_temperature
System_Failure,20,rf_smote,2,8,173,23,1849,191,64,0.33507853403141363,0.9057591623036649,0.8978973627940128,0.9072425207017125,0.8108108108108109,0.9375,0.8695652173913043,113,14,4,60,0.9704724409448819,0.962532622478363,0.11023622047244094,no_temperature
System_Failure,20,rf_smote,3,8,173,23,1853,187,64,0.3422459893048128,0.8877005347593583,0.8790538667652221,0.8892569349983028,0.7945205479452054,0.90625,0.8467153284671532,108,15,6,58,0.9428988821138212,0.8090516640017099,0.12195121951219512,no_temperature
System_Failure,20,rf_smote,4,8,180,16,1868,172,80,0.46511627906976744,0.7383720930232558,0.7383632491633708,0.7382571228447513,0.6881720430107527,0.8,0.7398843930635838,63,29,16,64,0.7707201086956522,0.6922995887116152,0.31521739130434784,no_temperature
