target,window_size,prediction_horizon,model,split_seed,train_windows,train_positive_count,train_positive_rate,train_cycle_runs,test_cycle_runs,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc
ProtectiveStop,10,3,rf_smote,44,1880,9,0.0047872340425531915,124,31,463,9,0.019438444924406047,0.980561555075594,0.495092693565976,0.9709377230192359,0.0,0.0,0.0,454,0,9,0,0.7950318159569261,0.5542504263210345
ProtectiveStop,10,3,rf_smote,45,1884,9,0.004777070063694267,124,31,459,9,0.0196078431372549,0.9869281045751634,0.7466887417218543,0.9837034151408908,1.0,0.3333333333333333,0.5,450,0,6,3,0.8220987654320987,0.5627891186916166
ProtectiveStop,10,3,rf_smote,47,1851,15,0.008103727714748784,124,31,492,3,0.006097560975609756,0.9939024390243902,0.4984709480122324,0.9908629820243157,0.0,0.0,0.0,489,0,3,0,0.3486707566462168,0.006097560975609756
ProtectiveStop,10,3,rf_smote,48,1887,12,0.006359300476947536,124,31,456,6,0.013157894736842105,0.9868421052631579,0.4966887417218543,0.9803067270826071,0.0,0.0,0.0,450,0,6,0,0.9005555555555556,0.4482135713369154
ProtectiveStop,10,3,rf_smote,49,1873,12,0.006406833956219968,124,31,470,6,0.01276595744680851,0.9851063829787234,0.4962486602357985,0.9798271419123851,0.0,0.0,0.0,463,1,6,0,0.7564655172413792,0.22036988091567186
ProtectiveStop,10,3,rf_smote,50,1886,12,0.006362672322375398,124,31,457,6,0.01312910284463895,0.986870897155361,0.4966960352422907,0.9803497238261405,0.0,0.0,0.0,451,0,6,0,0.9894678492239468,0.6830938697318008
ProtectiveStop,10,3,rf_smote,52,1890,12,0.006349206349206349,124,31,453,6,0.013245033112582781,0.9867549668874173,0.49666666666666665,0.980176600441501,0.0,0.0,0.0,447,0,6,0,0.773117076808352,0.511359455481972
ProtectiveStop,10,3,rf_smote,54,1883,9,0.004779607010090282,124,31,460,9,0.01956521739130435,0.9804347826086957,0.4950603732162459,0.9707488187848995,0.0,0.0,0.0,451,0,9,0,0.6777531411677754,0.35166132847292264
ProtectiveStop,10,3,rf_smote,56,1885,15,0.007957559681697613,124,31,458,3,0.006550218340611353,0.9934497816593887,0.49835706462212487,0.9901854340745276,0.0,0.0,0.0,455,0,3,0,0.5175824175824176,0.007290788835261371
ProtectiveStop,10,3,rf_smote,57,1854,15,0.008090614886731391,124,31,489,3,0.006134969325153374,0.9938650306748467,0.49846153846153846,0.9908069844266163,0.0,0.0,0.0,486,0,3,0,0.9132373113854595,0.04692874957000344
ProtectiveStop,10,3,rf_smote,58,1886,15,0.007953340402969246,124,31,457,3,0.006564551422319475,0.9934354485776805,0.4983534577387486,0.9901639816778638,0.0,0.0,0.0,454,0,3,0,1.0,1.0
ProtectiveStop,10,3,rf_smote,59,1888,9,0.004766949152542373,124,31,455,9,0.01978021978021978,0.9868131868131869,0.7466592427616927,0.9835605374580876,1.0,0.3333333333333333,0.5,446,0,6,3,0.7850024912805181,0.5378103378103378
ProtectiveStop,10,3,rf_smote,60,1876,15,0.007995735607675906,124,31,467,3,0.006423982869379015,0.9978586723768736,0.8994617868675996,0.9976456921052086,1.0,0.6666666666666666,0.8,464,0,1,2,1.0,1.0
ProtectiveStop,10,3,rf_smote,61,1893,12,0.006339144215530904,124,31,450,6,0.013333333333333334,0.9866666666666667,0.4966442953020134,0.9800447427293065,0.0,0.0,0.0,444,0,6,0,0.45495495495495497,0.01272923408845739
ProtectiveStop,10,3,rf_smote,62,1888,12,0.006355932203389831,124,31,455,6,0.013186813186813187,0.9868131868131869,0.49668141592920356,0.9802635417679666,0.0,0.0,0.0,449,0,6,0,0.9346696362286563,0.6030428284526645
ProtectiveStop,10,3,rf_smote,66,1871,12,0.006413682522715126,124,31,472,6,0.012711864406779662,0.9872881355932204,0.4968017057569296,0.9809728596725814,0.0,0.0,0.0,466,0,6,0,0.7619814020028611,0.5100852413519674
ProtectiveStop,10,3,rf_smote,68,1903,15,0.007882291119285338,124,31,440,3,0.006818181818181818,0.9931818181818182,0.4982896237172178,0.9897843889292008,0.0,0.0,0.0,437,0,3,0,0.23226544622425627,0.006818181818181818
ProtectiveStop,10,3,rf_smote,69,1879,15,0.007982969664715274,124,31,464,3,0.00646551724137931,0.9978448275862069,0.8994582881906825,0.9976304778271752,1.0,0.6666666666666666,0.8,461,0,1,2,1.0,1.0
ProtectiveStop,10,3,rf_smote,71,1877,9,0.004794885455514118,124,31,466,9,0.019313304721030045,0.98068669527897,0.49512459371614304,0.971124203125654,0.0,0.0,0.0,457,0,9,0,0.7909068806224168,0.6584524996542165
ProtectiveStop,10,3,rf_smote,74,1877,15,0.007991475759190196,124,31,466,3,0.006437768240343348,0.9935622317596566,0.4983853606027987,0.9903537423137158,0.0,0.0,0.0,463,0,3,0,1.0,1.0
ProtectiveStop,10,3,rf_smote,75,1873,15,0.00800854244527496,124,31,470,3,0.006382978723404255,0.9936170212765958,0.4983991462113127,0.9904357501305662,0.0,0.0,0.0,467,0,3,0,0.991077801570307,0.46031746031746035
ProtectiveStop,10,3,rf_smote,76,1877,15,0.007991475759190196,124,31,466,3,0.006437768240343348,0.9935622317596566,0.4983853606027987,0.9903537423137158,0.0,0.0,0.0,463,0,3,0,0.958963282937365,0.09393939393939395
ProtectiveStop,10,3,rf_smote,77,1876,12,0.006396588486140725,124,31,467,6,0.01284796573875803,0.987152034261242,0.49676724137931033,0.9807695857638632,0.0,0.0,0.0,461,0,6,0,0.6202096890817065,0.131423982869379
ProtectiveStop,10,3,rf_smote,79,1900,9,0.004736842105263158,124,31,443,9,0.020316027088036117,0.9796839729119639,0.49486887115165334,0.969630203520621,0.0,0.0,0.0,434,0,9,0,0.9610855094726063,0.2704198516949499
ProtectiveStop,10,3,rf_smote,80,1862,15,0.008055853920515575,124,31,481,3,0.006237006237006237,0.9937629937629938,0.4984358706986444,0.9906542461286987,0.0,0.0,0.0,478,0,3,0,0.9787308228730822,0.2587301587301587
