target,model_variant,seed,test_blocks,event_cycle_count,event_cycle_recall,event_cycle_recall_min_block,normal_cycle_count,normal_cycle_false_alarm_rate,normal_cycle_false_alarm_rate_max_block,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_pr_auc
GripLost,lstm_autoencoder_19_raw_q97.5,42,9,39,0.0,0.0,163,0.12269938650306748,0.4,0.46648155493851645,0.0,0.0,0.0,0.084469217053571
System_Failure,lstm_autoencoder_19_raw_q90,43,9,87,0.08045977011494253,0.0,115,0.24347826086956523,0.5333333333333333,0.4459090870972611,0.19166666666666668,0.023613963039014373,0.04204753199268738,0.22101814625230803
System_Failure,lstm_autoencoder_19_raw_q95,43,9,87,0.04597701149425287,0.0,115,0.12173913043478261,0.4,0.44315941337338893,0.25,0.015400410677618069,0.029013539651837523,0.22101814625230803
System_Failure,lstm_autoencoder_19_raw_q97.5,43,9,87,0.04597701149425287,0.0,115,0.12173913043478261,0.4,0.44315941337338893,0.25,0.015400410677618069,0.029013539651837523,0.22101814625230803
ProtectiveStop,lstm_autoencoder_19_raw_q90,43,9,62,0.11290322580645161,0.0,140,0.2,0.5,0.49055867803059505,0.19166666666666668,0.04085257548845471,0.06734992679355783,0.16289002321611415
ProtectiveStop,lstm_autoencoder_19_raw_q95,43,9,62,0.06451612903225806,0.0,140,0.1,0.375,0.48426235606956897,0.25,0.02664298401420959,0.048154093097913325,0.16289002321611415
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,43,9,62,0.06451612903225806,0.0,140,0.1,0.375,0.48426235606956897,0.25,0.02664298401420959,0.048154093097913325,0.16289002321611415
GripLost,lstm_autoencoder_19_raw_q90,43,9,39,0.0,0.0,163,0.22085889570552147,0.55,0.4630023955283471,0.0,0.0,0.0,0.08240977724010642
GripLost,lstm_autoencoder_19_raw_q95,43,9,39,0.0,0.0,163,0.1165644171779141,0.4,0.46725640348560865,0.0,0.0,0.0,0.08240977724010642
GripLost,lstm_autoencoder_19_raw_q97.5,43,9,39,0.0,0.0,163,0.1165644171779141,0.4,0.46725640348560865,0.0,0.0,0.0,0.08240977724010642
System_Failure,lstm_autoencoder_19_raw_q90,44,9,87,0.08045977011494253,0.0,115,0.19130434782608696,0.4666666666666667,0.4479919248090276,0.21818181818181817,0.024640657084188913,0.04428044280442804,0.22272524520422265
System_Failure,lstm_autoencoder_19_raw_q95,44,9,87,0.04597701149425287,0.0,115,0.13043478260869565,0.4,0.4443106472100666,0.23943661971830985,0.017453798767967144,0.03253588516746411,0.22272524520422265
System_Failure,lstm_autoencoder_19_raw_q97.5,44,9,87,0.04597701149425287,0.0,115,0.13043478260869565,0.4,0.4443106472100666,0.23943661971830985,0.017453798767967144,0.03253588516746411,0.22272524520422265
ProtectiveStop,lstm_autoencoder_19_raw_q90,44,9,62,0.11290322580645161,0.0,140,0.15714285714285714,0.4375,0.4934143615911113,0.21818181818181817,0.04262877442273535,0.0713224368499257,0.16284862643892148
ProtectiveStop,lstm_autoencoder_19_raw_q95,44,9,62,0.06451612903225806,0.0,140,0.10714285714285714,0.375,0.4864696090126811,0.23943661971830985,0.03019538188277087,0.05362776025236593,0.16284862643892148
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,44,9,62,0.06451612903225806,0.0,140,0.10714285714285714,0.375,0.4864696090126811,0.23943661971830985,0.03019538188277087,0.05362776025236593,0.16284862643892148
GripLost,lstm_autoencoder_19_raw_q90,44,9,39,0.0,0.0,163,0.18404907975460122,0.5,0.4637161084529506,0.0,0.0,0.0,0.08344718045723155
GripLost,lstm_autoencoder_19_raw_q95,44,9,39,0.0,0.0,163,0.12269938650306748,0.4,0.46648155493851645,0.0,0.0,0.0,0.08344718045723155
GripLost,lstm_autoencoder_19_raw_q97.5,44,9,39,0.0,0.0,163,0.12269938650306748,0.4,0.46648155493851645,0.0,0.0,0.0,0.08344718045723155
