target,model_variant,seed,test_block,event_cycle_count,detected_event_cycle_count,event_cycle_recall,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_pr_auc
GripLost,rf_19_raw_window,42,8,2,2,1.0,10,1,0.1,0.9707430340557275,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9873684210526312
GripLost,rf_19_raw_window,42,9,6,6,1.0,20,3,0.15,0.7662201811455542,0.918918918918919,0.425,0.5811965811965812,0.6706438723605126
GripLost,rf_19_raw_window,42,10,6,4,0.6666666666666666,21,1,0.047619047619047616,0.7156059750203979,0.88,0.3188405797101449,0.46808510638297873,0.5274303408345018
System_Failure,1d_cnn_19_raw,42,1,7,7,1.0,17,2,0.11764705882352941,0.7450262762762763,0.7733333333333333,0.49572649572649574,0.6041666666666666,0.7418995399583453
System_Failure,1d_cnn_19_raw,43,1,7,3,0.42857142857142855,17,0,0.0,0.5836243383596322,0.9545454545454546,0.1794871794871795,0.302158273381295,0.7201168122654068
System_Failure,1d_cnn_19_raw,44,1,7,6,0.8571428571428571,17,2,0.11764705882352941,0.7431137724550898,0.7808219178082192,0.48717948717948717,0.6,0.7408177676244705
System_Failure,1d_cnn_19_raw,42,2,5,4,0.8,18,2,0.1111111111111111,0.7638621794871795,0.5304347826086957,0.7922077922077922,0.6354166666666666,0.4936086038854096
System_Failure,1d_cnn_19_raw,43,2,5,5,1.0,18,2,0.1111111111111111,0.7846377838114351,0.55,0.8571428571428571,0.6700507614213198,0.4993029102876028
System_Failure,1d_cnn_19_raw,44,2,5,5,1.0,18,3,0.16666666666666666,0.7748570488296516,0.5555555555555556,0.7792207792207793,0.6486486486486487,0.4625271955323766
System_Failure,1d_cnn_19_raw,42,3,6,6,1.0,18,2,0.1111111111111111,0.7789586688137413,0.6933333333333334,0.5977011494252874,0.6419753086419753,0.5763547094270448
System_Failure,1d_cnn_19_raw,43,3,6,3,0.5,18,6,0.3333333333333333,0.6498663215274301,0.5,0.367816091954023,0.423841059602649,0.3731759662429143
System_Failure,1d_cnn_19_raw,44,3,6,6,1.0,18,2,0.1111111111111111,0.8310023211648028,0.7272727272727273,0.735632183908046,0.7314285714285714,0.7555668988729722
System_Failure,1d_cnn_19_raw,42,4,9,9,1.0,8,2,0.25,0.8241099519788044,0.7010309278350515,0.7906976744186046,0.7431693989071039,0.7704481922084236
System_Failure,1d_cnn_19_raw,43,4,9,9,1.0,8,3,0.375,0.8134050300618173,0.6545454545454545,0.8372093023255814,0.7346938775510204,0.7929041971794604
System_Failure,1d_cnn_19_raw,44,4,9,9,1.0,8,3,0.375,0.768999518999519,0.5692307692307692,0.8604651162790697,0.6851851851851852,0.8391788720667069
System_Failure,1d_cnn_19_raw,42,5,6,6,1.0,19,1,0.05263157894736842,0.8812540153467455,0.7254901960784313,0.9135802469135802,0.8087431693989071,0.6655621606047099
System_Failure,1d_cnn_19_raw,43,5,6,6,1.0,19,2,0.10526315789473684,0.8705384325437096,0.7128712871287128,0.8888888888888888,0.7912087912087912,0.6985992539267699
