target,window_size,prediction_horizon,split,split_seed,model,train_windows,train_positive_count,train_positive_rate,train_cycle_runs,test_cycle_runs,train_cycle_ids,test_cycle_ids,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc
ProtectiveStop,20,3,cycle_run_group,43,rf_plain,662,2,0.0030211480362537764,117,30,117,30,155,1,0.0064516129032258064,0.9935483870967742,0.49838187702265374,0.9903330201482411,0.0,0.0,0.0,154,0,1,0,0.9545454545454546,0.1111111111111111
ProtectiveStop,20,3,cycle_run_group,43,rf_smote,662,2,0.0030211480362537764,117,30,117,30,155,1,0.0064516129032258064,0.9935483870967742,0.49838187702265374,0.9903330201482411,0.0,0.0,0.0,154,0,1,0,0.974025974025974,0.2
ProtectiveStop,20,5,cycle_run_group,43,rf_plain,662,2,0.0030211480362537764,117,30,117,30,155,1,0.0064516129032258064,0.9935483870967742,0.49838187702265374,0.9903330201482411,0.0,0.0,0.0,154,0,1,0,0.9545454545454546,0.1111111111111111
ProtectiveStop,20,5,cycle_run_group,43,rf_smote,662,2,0.0030211480362537764,117,30,117,30,155,1,0.0064516129032258064,0.9935483870967742,0.49838187702265374,0.9903330201482411,0.0,0.0,0.0,154,0,1,0,0.974025974025974,0.2
ProtectiveStop,20,10,cycle_run_group,43,rf_plain,662,2,0.0030211480362537764,117,30,117,30,155,1,0.0064516129032258064,0.9935483870967742,0.49838187702265374,0.9903330201482411,0.0,0.0,0.0,154,0,1,0,0.9545454545454546,0.1111111111111111
ProtectiveStop,20,10,cycle_run_group,43,rf_smote,662,2,0.0030211480362537764,117,30,117,30,155,1,0.0064516129032258064,0.9935483870967742,0.49838187702265374,0.9903330201482411,0.0,0.0,0.0,154,0,1,0,0.974025974025974,0.2
GripLost,5,3,cycle_run_group,42,rf_plain,4009,52,0.012970815664754302,168,42,165,42,933,30,0.03215434083601286,0.9689174705251876,0.5243561571591808,0.9546244792972338,1.0,0.03333333333333333,0.06451612903225806,903,0,29,1,0.8621262458471762,0.4947090610970296
GripLost,5,3,cycle_run_group,42,rf_smote,4009,52,0.012970815664754302,168,42,165,42,933,30,0.03215434083601286,0.9732047159699893,0.6360302722946087,0.9638178996093162,1.0,0.16666666666666666,0.2857142857142857,903,0,25,5,0.8675526024363234,0.5099134827141464
GripLost,5,5,cycle_run_group,42,rf_plain,4009,85,0.021202294836617612,168,42,165,42,933,50,0.05359056806002144,0.9464094319399786,0.48623348017621143,0.9203519035275342,0.0,0.0,0.0,883,0,50,0,0.8530464326160816,0.35853299161944785
GripLost,5,5,cycle_run_group,42,rf_smote,4009,85,0.021202294836617612,168,42,165,42,933,50,0.05359056806002144,0.947481243301179,0.5242223355430903,0.9248753698186448,0.6666666666666666,0.04,0.07547169811320754,882,1,48,2,0.8235673839184597,0.38008514583376307
GripLost,5,10,cycle_run_group,42,rf_plain,4009,162,0.04040907957096533,168,42,165,42,933,97,0.10396570203644159,0.8971061093247589,0.48305476036568473,0.8495026009414401,1.0,0.010309278350515464,0.02040816326530612,836,0,96,1,0.8510457258422532,0.43172336785837334
GripLost,5,10,cycle_run_group,42,rf_smote,4009,162,0.04040907957096533,168,42,165,42,933,97,0.10396570203644159,0.9003215434083601,0.5132583513308838,0.8570560664093153,1.0,0.041237113402061855,0.07920792079207921,836,0,93,4,0.8325358851674641,0.5177997279272964
GripLost,10,3,cycle_run_group,42,rf_plain,3077,55,0.017874553136171596,163,41,161,41,822,21,0.025547445255474453,0.9744525547445255,0.49353049907578556,0.9618441113374798,0.0,0.0,0.0,801,0,21,0,0.9514892099161762,0.548061123452972
GripLost,10,3,cycle_run_group,42,rf_smote,3077,55,0.017874553136171596,163,41,161,41,822,21,0.025547445255474453,0.975669099756691,0.609204145668917,0.9683029700262834,0.6,0.14285714285714285,0.23076923076923078,799,2,18,3,0.9278283098507818,0.4214040099799197
GripLost,10,5,cycle_run_group,42,rf_plain,3077,89,0.028924276893077673,163,41,161,41,822,35,0.04257907542579075,0.9574209245742092,0.5161371701508602,0.9388701425411258,0.5,0.02857142857142857,0.05405405405405406,786,1,34,1,0.9613359956434924,0.45138183234087886
GripLost,10,5,cycle_run_group,42,rf_smote,3077,89,0.028924276893077673,163,41,161,41,822,35,0.04257907542579075,0.9598540145985401,0.587267775360224,0.9460191862529433,0.6666666666666666,0.11428571428571428,0.1951219512195122,785,2,31,4,0.9386458522417862,0.38159512200427237
GripLost,10,10,cycle_run_group,42,rf_plain,3077,165,0.05362365940851479,163,41,161,41,822,67,0.08150851581508516,0.9172749391727494,0.4784263959390863,0.8788611409586623,0.0,0.0,0.0,754,1,67,0,0.8940792725116141,0.4327836806369437
GripLost,10,10,cycle_run_group,42,rf_smote,3077,165,0.05362365940851479,163,41,161,41,822,67,0.08150851581508516,0.9172749391727494,0.5423911975636113,0.8890578833527067,0.45454545454545453,0.07462686567164178,0.1282051282051282,749,6,62,5,0.8622220025699318,0.36459964147027674
GripLost,20,3,cycle_run_group,42,rf_plain,1420,24,0.016901408450704224,148,37,147,37,489,6,0.012269938650306749,0.9877300613496932,0.49691358024691357,0.9816329622055594,0.0,0.0,0.0,483,0,6,0,0.9411663216011041,0.39863845897595185
GripLost,20,3,cycle_run_group,42,rf_smote,1420,24,0.016901408450704224,148,37,147,37,489,6,0.012269938650306749,0.9877300613496932,0.6219072164948454,0.9846878755296945,0.5,0.16666666666666666,0.25,482,1,5,1,0.9396135265700483,0.30996936418448046
GripLost,20,5,cycle_run_group,42,rf_plain,1420,37,0.026056338028169014,148,37,147,37,489,10,0.02044989775051125,0.9795501022494888,0.49483471074380164,0.9694307830113741,0.0,0.0,0.0,479,0,10,0,0.9194154488517745,0.29221467288291253
GripLost,20,5,cycle_run_group,42,rf_smote,1420,37,0.026056338028169014,148,37,147,37,489,10,0.02044989775051125,0.9795501022494888,0.49483471074380164,0.9694307830113741,0.0,0.0,0.0,479,0,10,0,0.889874739039666,0.27608787227047316
GripLost,20,10,cycle_run_group,42,rf_plain,1420,55,0.03873239436619718,148,37,147,37,489,14,0.028629856850715747,0.9693251533742331,0.49221183800623053,0.9562397670877689,0.0,0.0,0.0,474,1,14,0,0.8751127819548872,0.1033309483332579
GripLost,20,10,cycle_run_group,42,rf_smote,1420,55,0.03873239436619718,148,37,147,37,489,14,0.028629856850715747,0.9468302658486708,0.48634453781512604,0.9448411266347029,0.0,0.0,0.0,463,12,14,0,0.8554887218045113,0.09305412932028928
