target,model_variant,test_block,event_cycle_count,detected_event_cycle_count,event_cycle_recall,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate
System_Failure,lstm_autoencoder_19_raw_q90,7,9,2,0.2222222222222222,15,7,0.4666666666666667
System_Failure,lstm_autoencoder_19_raw_q95,7,9,1,0.1111111111111111,15,6,0.4
System_Failure,lstm_autoencoder_19_raw_q97.5,7,9,1,0.1111111111111111,15,6,0.4
ProtectiveStop,lstm_autoencoder_19_raw_q90,7,8,2,0.25,16,7,0.4375
ProtectiveStop,lstm_autoencoder_19_raw_q95,7,8,1,0.125,16,6,0.375
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,7,8,1,0.125,16,6,0.375
GripLost,lstm_autoencoder_19_raw_q90,7,4,0,0.0,20,10,0.5
GripLost,lstm_autoencoder_19_raw_q95,7,4,0,0.0,20,8,0.4
GripLost,lstm_autoencoder_19_raw_q97.5,7,4,0,0.0,20,8,0.4
System_Failure,lstm_autoencoder_19_raw_q90,8,5,0,0.0,7,0,0.0
System_Failure,lstm_autoencoder_19_raw_q95,8,5,0,0.0,7,0,0.0
System_Failure,lstm_autoencoder_19_raw_q97.5,8,5,0,0.0,7,0,0.0
ProtectiveStop,lstm_autoencoder_19_raw_q90,8,3,0,0.0,9,0,0.0
ProtectiveStop,lstm_autoencoder_19_raw_q95,8,3,0,0.0,9,0,0.0
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,8,3,0,0.0,9,0,0.0
GripLost,lstm_autoencoder_19_raw_q90,8,2,0,0.0,10,0,0.0
GripLost,lstm_autoencoder_19_raw_q95,8,2,0,0.0,10,0,0.0
GripLost,lstm_autoencoder_19_raw_q97.5,8,2,0,0.0,10,0,0.0
System_Failure,lstm_autoencoder_19_raw_q90,9,20,0,0.0,6,0,0.0
System_Failure,lstm_autoencoder_19_raw_q95,9,20,0,0.0,6,0,0.0
System_Failure,lstm_autoencoder_19_raw_q97.5,9,20,0,0.0,6,0,0.0
ProtectiveStop,lstm_autoencoder_19_raw_q90,9,17,0,0.0,9,0,0.0
ProtectiveStop,lstm_autoencoder_19_raw_q95,9,17,0,0.0,9,0,0.0
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,9,17,0,0.0,9,0,0.0
GripLost,lstm_autoencoder_19_raw_q90,9,6,0,0.0,20,0,0.0
GripLost,lstm_autoencoder_19_raw_q95,9,6,0,0.0,20,0,0.0
GripLost,lstm_autoencoder_19_raw_q97.5,9,6,0,0.0,20,0,0.0
System_Failure,lstm_autoencoder_19_raw_q90,10,20,3,0.15,7,0,0.0
System_Failure,lstm_autoencoder_19_raw_q95,10,20,1,0.05,7,0,0.0
System_Failure,lstm_autoencoder_19_raw_q97.5,10,20,1,0.05,7,0,0.0
ProtectiveStop,lstm_autoencoder_19_raw_q90,10,19,3,0.15789473684210525,8,0,0.0
ProtectiveStop,lstm_autoencoder_19_raw_q95,10,19,1,0.05263157894736842,8,0,0.0
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,10,19,1,0.05263157894736842,8,0,0.0
GripLost,lstm_autoencoder_19_raw_q90,10,6,0,0.0,21,3,0.14285714285714285
GripLost,lstm_autoencoder_19_raw_q95,10,6,0,0.0,21,1,0.047619047619047616
GripLost,lstm_autoencoder_19_raw_q97.5,10,6,0,0.0,21,1,0.047619047619047616
