target,variant,test_block,event_cycles,detected_event_cycles,event_cycle_recall,normal_cycles,false_alarm_cycles,normal_cycle_false_alarm_rate
ProtectiveStop,tool_current_only,8,3,1,0.3333333333333333,9,4,0.4444444444444444
ProtectiveStop,tool_current_only,9,17,9,0.5294117647058824,9,4,0.4444444444444444
ProtectiveStop,tool_current_only,10,19,14,0.7368421052631579,8,5,0.625
ProtectiveStop,speed_only,1,2,2,1.0,22,6,0.2727272727272727
ProtectiveStop,speed_only,2,2,2,1.0,21,3,0.14285714285714285
ProtectiveStop,speed_only,3,3,3,1.0,21,4,0.19047619047619047
ProtectiveStop,speed_only,4,3,3,1.0,14,2,0.14285714285714285
ProtectiveStop,speed_only,5,5,5,1.0,20,1,0.05
ProtectiveStop,speed_only,7,8,8,1.0,16,0,0.0
ProtectiveStop,speed_only,8,3,3,1.0,9,0,0.0
ProtectiveStop,speed_only,9,17,16,0.9411764705882353,9,0,0.0
ProtectiveStop,speed_only,10,19,19,1.0,8,1,0.125
ProtectiveStop,temperature_only,1,2,0,0.0,22,0,0.0
ProtectiveStop,temperature_only,2,2,0,0.0,21,0,0.0
ProtectiveStop,temperature_only,3,3,0,0.0,21,0,0.0
ProtectiveStop,temperature_only,4,3,0,0.0,14,0,0.0
ProtectiveStop,temperature_only,5,5,0,0.0,20,0,0.0
ProtectiveStop,temperature_only,7,8,0,0.0,16,0,0.0
ProtectiveStop,temperature_only,8,3,1,0.3333333333333333,9,1,0.1111111111111111
ProtectiveStop,temperature_only,9,17,6,0.35294117647058826,9,2,0.2222222222222222
ProtectiveStop,temperature_only,10,19,3,0.15789473684210525,8,1,0.125
ProtectiveStop,drop_current_family,1,2,1,0.5,22,3,0.13636363636363635
ProtectiveStop,drop_current_family,2,2,2,1.0,21,0,0.0
ProtectiveStop,drop_current_family,3,3,3,1.0,21,4,0.19047619047619047
ProtectiveStop,drop_current_family,4,3,3,1.0,14,1,0.07142857142857142
ProtectiveStop,drop_current_family,5,5,5,1.0,20,2,0.1
ProtectiveStop,drop_current_family,7,8,8,1.0,16,0,0.0
ProtectiveStop,drop_current_family,8,3,3,1.0,9,0,0.0
ProtectiveStop,drop_current_family,9,17,16,0.9411764705882353,9,0,0.0
ProtectiveStop,drop_current_family,10,19,19,1.0,8,1,0.125
ProtectiveStop,drop_speed,1,2,1,0.5,22,0,0.0
ProtectiveStop,drop_speed,2,2,2,1.0,21,0,0.0
ProtectiveStop,drop_speed,3,3,2,0.6666666666666666,21,1,0.047619047619047616
ProtectiveStop,drop_speed,4,3,3,1.0,14,0,0.0
ProtectiveStop,drop_speed,5,5,5,1.0,20,1,0.05
ProtectiveStop,drop_speed,7,8,8,1.0,16,0,0.0
ProtectiveStop,drop_speed,8,3,3,1.0,9,0,0.0
ProtectiveStop,drop_speed,9,17,15,0.8823529411764706,9,0,0.0
ProtectiveStop,drop_speed,10,19,18,0.9473684210526315,8,2,0.25
ProtectiveStop,drop_temperature,1,2,1,0.5,22,7,0.3181818181818182
ProtectiveStop,drop_temperature,2,2,2,1.0,21,0,0.0
ProtectiveStop,drop_temperature,3,3,3,1.0,21,3,0.14285714285714285
ProtectiveStop,drop_temperature,4,3,3,1.0,14,1,0.07142857142857142
ProtectiveStop,drop_temperature,5,5,5,1.0,20,0,0.0
ProtectiveStop,drop_temperature,7,8,8,1.0,16,0,0.0
ProtectiveStop,drop_temperature,8,3,3,1.0,9,0,0.0
ProtectiveStop,drop_temperature,9,17,16,0.9411764705882353,9,0,0.0
ProtectiveStop,drop_temperature,10,19,18,0.9473684210526315,8,1,0.125
ProtectiveStop,drop_tool_current,1,2,2,1.0,22,0,0.0
ProtectiveStop,drop_tool_current,2,2,2,1.0,21,0,0.0
ProtectiveStop,drop_tool_current,3,3,3,1.0,21,3,0.14285714285714285
ProtectiveStop,drop_tool_current,4,3,3,1.0,14,1,0.07142857142857142
ProtectiveStop,drop_tool_current,5,5,5,1.0,20,0,0.0
ProtectiveStop,drop_tool_current,7,8,8,1.0,16,0,0.0
ProtectiveStop,drop_tool_current,8,3,3,1.0,9,0,0.0
ProtectiveStop,drop_tool_current,9,17,16,0.9411764705882353,9,0,0.0
ProtectiveStop,drop_tool_current,10,19,18,0.9473684210526315,8,0,0.0
GripLost,all_19,1,5,4,0.8,19,0,0.0
GripLost,all_19,2,3,3,1.0,20,0,0.0
GripLost,all_19,3,5,5,1.0,19,1,0.05263157894736842
GripLost,all_19,4,7,7,1.0,10,0,0.0
GripLost,all_19,5,1,1,1.0,24,0,0.0
GripLost,all_19,7,4,4,1.0,20,0,0.0
GripLost,all_19,8,2,2,1.0,10,1,0.1
GripLost,all_19,9,6,6,1.0,20,3,0.15
GripLost,all_19,10,6,4,0.6666666666666666,21,1,0.047619047619047616
GripLost,current_family_only,1,5,4,0.8,19,0,0.0
GripLost,current_family_only,2,3,3,1.0,20,0,0.0
GripLost,current_family_only,3,5,5,1.0,19,4,0.21052631578947367
GripLost,current_family_only,4,7,7,1.0,10,1,0.1
GripLost,current_family_only,5,1,1,1.0,24,2,0.08333333333333333
GripLost,current_family_only,7,4,4,1.0,20,0,0.0
GripLost,current_family_only,8,2,2,1.0,10,2,0.2
GripLost,current_family_only,9,6,6,1.0,20,3,0.15
GripLost,current_family_only,10,6,5,0.8333333333333334,21,8,0.38095238095238093
GripLost,joint_current_only,1,5,5,1.0,19,1,0.05263157894736842
GripLost,joint_current_only,2,3,3,1.0,20,0,0.0
GripLost,joint_current_only,3,5,5,1.0,19,3,0.15789473684210525
GripLost,joint_current_only,4,7,7,1.0,10,0,0.0
GripLost,joint_current_only,5,1,1,1.0,24,0,0.0
GripLost,joint_current_only,7,4,4,1.0,20,2,0.1
GripLost,joint_current_only,8,2,2,1.0,10,0,0.0
GripLost,joint_current_only,9,6,6,1.0,20,4,0.2
GripLost,joint_current_only,10,6,4,0.6666666666666666,21,8,0.38095238095238093
GripLost,tool_current_only,1,5,2,0.4,19,13,0.6842105263157895
GripLost,tool_current_only,2,3,3,1.0,20,15,0.75
GripLost,tool_current_only,3,5,3,0.6,19,15,0.7894736842105263
GripLost,tool_current_only,4,7,3,0.42857142857142855,10,6,0.6
GripLost,tool_current_only,5,1,1,1.0,24,19,0.7916666666666666
GripLost,tool_current_only,7,4,1,0.25,20,18,0.9
GripLost,tool_current_only,8,2,1,0.5,10,9,0.9
GripLost,tool_current_only,9,6,5,0.8333333333333334,20,17,0.85
GripLost,tool_current_only,10,6,3,0.5,21,15,0.7142857142857143
GripLost,speed_only,1,5,5,1.0,19,6,0.3157894736842105
GripLost,speed_only,2,3,3,1.0,20,4,0.2
GripLost,speed_only,3,5,5,1.0,19,8,0.42105263157894735
GripLost,speed_only,4,7,6,0.8571428571428571,10,5,0.5
GripLost,speed_only,5,1,1,1.0,24,3,0.125
GripLost,speed_only,7,4,4,1.0,20,7,0.35
GripLost,speed_only,8,2,2,1.0,10,3,0.3
GripLost,speed_only,9,6,6,1.0,20,5,0.25
GripLost,speed_only,10,6,4,0.6666666666666666,21,8,0.38095238095238093
GripLost,temperature_only,1,5,0,0.0,19,0,0.0
GripLost,temperature_only,2,3,0,0.0,20,0,0.0
GripLost,temperature_only,3,5,0,0.0,19,0,0.0
GripLost,temperature_only,4,7,0,0.0,10,0,0.0
GripLost,temperature_only,5,1,0,0.0,24,0,0.0
GripLost,temperature_only,7,4,0,0.0,20,0,0.0
GripLost,temperature_only,8,2,0,0.0,10,0,0.0
GripLost,temperature_only,9,6,1,0.16666666666666666,20,4,0.2
GripLost,temperature_only,10,6,0,0.0,21,0,0.0
GripLost,drop_current_family,1,5,0,0.0,19,0,0.0
GripLost,drop_current_family,2,3,0,0.0,20,0,0.0
GripLost,drop_current_family,3,5,4,0.8,19,2,0.10526315789473684
GripLost,drop_current_family,4,7,4,0.5714285714285714,10,0,0.0
GripLost,drop_current_family,5,1,1,1.0,24,1,0.041666666666666664
GripLost,drop_current_family,7,4,2,0.5,20,0,0.0
GripLost,drop_current_family,8,2,2,1.0,10,0,0.0
GripLost,drop_current_family,9,6,3,0.5,20,2,0.1
GripLost,drop_current_family,10,6,0,0.0,21,1,0.047619047619047616
GripLost,drop_speed,1,5,1,0.2,19,0,0.0
GripLost,drop_speed,2,3,3,1.0,20,0,0.0
