target,window_size,feature_set,model,decision_threshold,test_block,train_blocks,train_cycle_runs,train_windows,eligible_test_cycle_runs,event_cycle_count,detected_event_cycle_count,event_cycle_recall,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate,false_positive_windows_on_normal_cycles,false_positive_windows_per_normal_cycle,normal_window_false_positive_rate,detected_event_delay_steps_mean,detected_event_delay_steps_median,detected_event_delay_steps_max,window_false_positive_rate,window_test_windows,window_positive_count,window_positive_rate,window_accuracy,window_macro_f1,window_weighted_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_tn,window_fp,window_fn,window_tp,window_roc_auc,window_pr_auc
System_Failure,10,no_temperature,rf_smote,0.5,2,8,179,3614,23,5,5,1.0,18,0,0.0,0,0.0,0.0,0.8,0.0,2.0,0.005813953488372093,421,77,0.1828978622327791,0.9619952494061758,0.9322334004024144,0.9607151698791323,0.9692307692307692,0.8181818181818182,0.8873239436619719,342,2,14,63,0.9886929930534583,0.9621092902774439
System_Failure,10,no_temperature,rf_smote,0.5,3,8,178,3609,24,6,6,1.0,18,3,0.16666666666666666,9,0.5,0.03169014084507042,0.0,0.0,0.0,0.0855457227138643,426,87,0.20422535211267606,0.892018779342723,0.8418095514869708,0.8945292407355107,0.7070707070707071,0.8045977011494253,0.7526881720430108,310,29,17,70,0.9346285559285255,0.8384990926067387
System_Failure,10,no_temperature,rf_smote,0.5,4,8,185,3696,17,9,9,1.0,8,1,0.125,6,0.75,0.048,0.2222222222222222,0.0,2.0,0.1541501976284585,339,86,0.2536873156342183,0.8613569321533924,0.8347627689914441,0.8674188369917776,0.6666666666666666,0.9069767441860465,0.7684729064039408,214,39,8,78,0.9308989796856327,0.8169993156802859
System_Failure,10,no_temperature,rf_smote,0.5,5,8,177,3565,25,6,6,1.0,19,1,0.05263157894736842,1,0.05263157894736842,0.0038022813688212928,0.0,0.0,0.0,0.05912596401028278,470,81,0.1723404255319149,0.9297872340425531,0.8841456582633054,0.9317985577209608,0.7553191489361702,0.8765432098765432,0.8114285714285714,366,23,10,71,0.9604398743216225,0.8815801437886543
System_Failure,10,no_temperature,rf_smote,0.5,7,8,178,3560,24,9,9,1.0,15,0,0.0,0,0.0,0.0,0.3333333333333333,0.0,3.0,0.024,475,100,0.21052631578947367,0.9410526315789474,0.9078947368421053,0.9398891966759002,0.9,0.81,0.8526315789473684,366,9,19,81,0.9706799999999999,0.9353091284709771
System_Failure,10,no_temperature,rf_smote,0.5,8,8,190,3846,12,5,5,1.0,7,1,0.14285714285714285,1,0.14285714285714285,0.010309278350515464,0.0,0.0,0.0,0.0392156862745098,189,36,0.19047619047619047,0.9523809523809523,0.9251485148514851,0.9530975954738332,0.8461538461538461,0.9166666666666666,0.88,147,6,3,33,0.9941902687000727,0.9794331945022405
System_Failure,10,no_temperature,rf_smote,0.5,9,8,176,3474,26,20,20,1.0,6,0,0.0,0,0.0,0.0,1.95,0.0,17.0,0.05305039787798409,561,184,0.32798573975044565,0.8502673796791443,0.8177387914230019,0.8442283168805356,0.8571428571428571,0.6521739130434783,0.7407407407407407,357,20,64,120,0.8559061815246223,0.8364534535526968
System_Failure,10,no_temperature,rf_smote,0.5,10,8,175,3310,27,20,20,1.0,7,0,0.0,0,0.0,0.0,0.5,0.0,8.0,0.09248554913294797,725,206,0.28413793103448276,0.8606896551724138,0.8275033509932839,0.860167857936893,0.7611940298507462,0.7427184466019418,0.7518427518427518,471,48,53,153,0.9242942926090129,0.8649782518278415
ProtectiveStop,10,all_sensors,rf_smote,0.5,1,8,178,3606,24,2,1,0.5,22,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.012437810945273632,429,27,0.06293706293706294,0.9417249417249417,0.6642246642246642,0.9310518541287772,0.5833333333333334,0.25925925925925924,0.358974358974359,397,5,20,7,0.9260180578588539,0.3802884564928475
ProtectiveStop,10,all_sensors,rf_smote,0.5,2,8,179,3614,23,2,2,1.0,21,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,421,35,0.0831353919239905,0.9857482185273159,0.9492689588688946,0.985135121726334,1.0,0.8285714285714286,0.90625,386,0,6,29,0.9984455958549223,0.9846410899042478
